"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000109206,"02","كارگر كشاورزي",1,2,NA,1,NA,1,NA,NA,NA,"005287","208",4,104,0,"Admin",NA,"Admin","Admin",NA
2000109209,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,133,1,"Admin",NA,"Admin","Admin",NA
2000097157,"02","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1007,2,"Admin",NA,"Admin","Admin",NA
2000097161,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,75,0,"Admin",NA,"Admin","Admin",NA
2000097166,"02","كارگر پالايشگاه",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,74,0,"Admin",NA,"Admin","Admin",1
2000097164,"02","نانوا",1,2,NA,2,NA,1,NA,NA,NA,"005307","163",4,298,1,"Admin",NA,"Admin","Admin",NA
2000097154,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48,0,"Admin",NA,"Admin","Admin",NA
2000037062,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,37,0,"Admin",NA,"Admin","Admin",NA
2000037070,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,240,1,"Admin",NA,"Admin","Admin",NA
2000037073,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,40,0,"Admin",NA,"Admin","Admin",NA
2000121316,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,208,1,"Admin",NA,"Admin","Admin",NA
2000121315,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin",NA
2000121323,"02","كارگر جمع اوري زباله",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,122,1,"Admin",NA,"Admin","Admin",NA
2000121326,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,76,0,"Admin",NA,"Admin","Admin",NA
2000121320,"02","كارگر معدن",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,137,1,"Admin",NA,"Admin","Admin",NA
2000001156,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49,0,"Admin",NA,"Admin","Admin",NA
2000001152,"02","كشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,300,1,"admin",NA,"admin","Admin",NA
2000001146,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,195,1,"admin",NA,"admin","Admin",NA
2000001148,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,76,0,"Admin",NA,"Admin","Admin",NA
2000001159,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,247,1,"Admin",NA,"Admin","Admin",NA
2000037061,"02","كارگر ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,146,1,"Admin",NA,"Admin","Admin",NA
2000037065,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,80,0,"Admin",NA,"Admin","Admin",NA
2000005066,"03","كشاورز",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,183,1,"Admin",NA,"Admin","Admin",1
2000081296,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,55,0,"Admin",NA,"Admin","Admin",NA
2000073329,"02","راننده تراكتور",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,130,1,"Admin",NA,"Admin","Admin",NA
2000073323,"02","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,300,1,"Admin",NA,"Admin","Admin",NA
2000073321,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,0,"Admin",NA,"Admin","Admin",NA
2000073332,"02","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,280,1,"Admin",NA,"Admin","Admin",NA
2000073327,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,150,1,"Admin",NA,"Admin","Admin",NA
2000133053,"02","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,73,0,"Admin",NA,"Admin","Admin",NA
2000161114,"03","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,92,0,"Admin",NA,"Admin","Admin",NA
2000161119,"03","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,115,1,"Admin",NA,"Admin","Admin",NA
2000161123,"03","درامد بدون كار",1,2,NA,1,NA,1,NA,NA,NA,"000640","124",4,37,0,"Admin",NA,"Admin","Admin",NA
2000161126,"03","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,233,1,"Admin",NA,"Admin","Admin",NA
