"Address","DYCOL01","DYCOL02","DYCOL03"
12210263708,"093113",1,"0000220000"
12210263708,"095415",1,"0000040000"
12210263708,"095418",1,"0000020000"
12202252114,"095413",1,"0000020000"
12202252105,"093211",1,"0000250000"
12209262508,"094213",1,"0001100000"
12209262508,"094217",1,"0003000000"
12209262502,"093114",1,"0000400000"
12209262502,"095122",1,"0000450000"
12212265314,"093113",1,"0000200000"
12212265314,"093114",1,"0000280000"
12212265314,"095415",1,"0000040000"
12212265302,"095413",1,"0000040000"
12212265311,"093113",1,"0000270000"
12212265311,"093114",1,"0000360000"
12204256905,"094216",1,"0000150000"
12204256905,"095411",1,"0000050000"
12204256905,"095415",1,"0000010000"
12204256905,"095418",1,"0000010000"
12203255305,"093113",1,"0000500000"
12203255305,"093114",1,"0000540000"
12203255302,"093113",1,"0000190000"
12203255708,"093114",1,"0001000000"
12211264111,"095413",1,"0000160000"
12207260508,"093114",1,"0000300000"
12207260511,"095413",1,"0000060000"
12207260511,"095415",1,"0000020000"
12207260511,"095416",1,"0000080000"
12208261714,"093211",1,"0000020000"
12212264905,"095411",1,"0000050000"
12212264905,"095413",1,"0000030000"
12212264917,"095411",1,"0000120000"
12212264917,"095413",1,"0000050000"
12212264917,"095416",1,"0000100000"
12212264917,"095418",1,"0000025000"
12212264917,"095425",1,"0000075000"
12202251705,"095122",1,"0000130000"
12202251705,"095411",1,"0000070000"
12202251705,"095416",1,"0000185000"
12204256911,"095122",1,"0000220000"
12204256911,"095411",1,"0000250000"
12204256911,"095413",1,"0000100000"
12212264908,"095413",1,"0000050000"
12202253705,"094216",1,"0000250000"
12210263314,"095122",1,"0001700000"
12208262102,"093113",1,"0004000000"
12208262102,"093311",1,"0000050000"
12202253714,"093211",1,"0000030000"
12210263311,"094216",1,"0000380000"
12202252505,"093113",1,"0000300000"
12203254502,"093114",1,"0000500000"
12203254502,"095413",1,"0000040000"
12204256908,"093114",1,"0000250000"
12204256908,"095411",1,"0000500000"
12204256908,"095413",1,"0000120000"
12204256908,"095415",1,"0000050000"
12301276708,"094211",1,"0000240000"
12301275517,"093314",1,"0000500000"
12301275517,"094111",1,"0000800000"
12301275517,"095122",1,"0000500000"
12301275511,"093314",1,"0000180000"
12301275511,"094112",1,"0000500000"
12301277902,"093314",1,"0000200000"
12301275508,"094211",1,"0000600000"
12301276702,"093211",1,"0000010000"
12301276714,"093211",1,"0000200000"
12301276714,"094211",1,"0000100000"
12301276714,"095122",1,"0000200000"
12301266708,"094111",1,"0000800000"
12301277114,"095122",1,"0000650000"
12301277114,"095212",1,"0000120000"
12301266717,"094111",1,"0000800000"
12301267917,"094111",1,"0000250000"
12301267917,"094112",1,"0001200000"
12301272702,"094112",1,"0001000000"
12301272711,"094211",1,"0000900000"
12301269105,"094112",1,"0000750000"
12301284711,"094111",1,"0001000000"
12301284711,"094211",1,"0000400000"
12301270705,"094112",1,"0002700000"
12301266308,"094111",1,"0001000000"
12309287917,"094112",1,"0000800000"
12301270714,"094112",1,"0001200000"
12301265508,"095122",1,"0000800000"
12301265511,"094112",1,"0000550000"
12301270314,"094112",1,"0001200000"
12301270314,"094211",1,"0000300000"
12301280305,"093114",1,"0001000000"
12301279111,"091417",1,"0000480000"
12301279111,"094211",1,"0000300000"
12301285114,"094211",1,"0000300000"
12301274317,"091417",1,"0000200000"
12301274317,"093113",1,"0000600000"
12301274317,"093114",1,"0001000000"
12301274317,"093116",1,"0000300000"
12301274317,"094112",1,"0000270000"
12301280311,"094216",1,"0000150000"
12301279114,"094216",1,"0000140000"
12301274302,"091417",1,"0000200000"
