"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
22806685414,"022111",1,NA,"00600","0000001500","0000900000"
22802680217,"023111",1,NA,NA,NA,"0002500000"
22802679817,"023111",1,NA,NA,NA,"0003000000"
22806685402,"022111",1,NA,"00600","0000001500","0000900000"
22801677014,"023111",1,NA,NA,NA,"0003000000"
22806684602,"023111",1,NA,NA,NA,"0001800000"
22806684611,"023111",1,NA,NA,NA,"0003000000"
22806684608,"023111",1,NA,NA,NA,"0001800000"
22808687011,"023111",1,NA,NA,NA,"0001200000"
22808687002,"023111",1,NA,NA,NA,"0001500000"
22802679417,"022113",1,NA,"00020","0000002500","0000050000"
22802679417,"023111",1,NA,NA,NA,"0003000000"
22805683417,"023111",1,NA,NA,NA,"0002400000"
22805683411,"022111",1,NA,"00600","0000001500","0000900000"
22805683411,"023111",1,NA,NA,NA,"0003000000"
22801677814,"023111",1,NA,NA,NA,"0000500000"
22806685017,"023111",1,NA,NA,NA,"0001500000"
22806685005,"023111",1,NA,NA,NA,"0002400000"
22801677817,"023111",1,NA,NA,NA,"0001000000"
22802678605,"022111",1,NA,"00600","0000001500","0000900000"
22802678605,"023111",1,NA,NA,NA,"0001000000"
22804682214,"023111",1,NA,NA,NA,"0000800000"
22806685814,"023111",1,NA,NA,NA,"0003000000"
22806684208,"022111",1,NA,"01200","0000002500","0003000000"
22806684208,"023111",1,NA,NA,NA,"0005000000"
22902690702,"022111",1,NA,"00150","0000001500","0000225000"
23001700102,"022111",1,NA,"00600","0000002500","0001500000"
23001701717,"022111",1,NA,"00300","0000002000","0000600000"
23002703308,"022111",1,NA,"00600","0000002000","0001200000"
23002704102,"022113",1,NA,"00150","0000002000","0000300000"
23003705302,"022111",1,NA,"00600","0000002000","0001200000"
23003705705,"022113",1,NA,"00060","0000004000","0000240000"
23003705717,"022113",1,NA,"00600","0000003000","0001800000"
23003706511,"022113",1,NA,"00600","0000001500","0000900000"
23003706514,"022113",1,NA,"00300","0000003000","0000900000"
23003706517,"022113",1,NA,"00090","0000002000","0000180000"
23005707305,"023111",1,NA,NA,NA,"0000050000"
23005707711,"022113",1,NA,"00600","0000002000","0001200000"
23005707714,"022111",1,NA,"00200","0000002000","0000400000"
23006708105,"022115",1,NA,NA,NA,"0000140000"
23006708108,"022113",1,NA,"00300","0000004000","0001200000"
23005707705,"022111",1,NA,"00600","0000002000","0001200000"
23003706902,"022111",1,NA,"00600","0000003000","0001800000"
23006708102,"022115",1,NA,NA,NA,"0000120000"
23005707317,"022111",1,NA,"00600","0000001500","0000900000"
23001700105,"022111",1,NA,"00600","0000003000","0001800000"
23001700114,"022111",1,NA,"00600","0000002500","0001500000"
23001700117,"022111",1,NA,"00600","0000003500","0002100000"
23001700502,"022111",1,NA,"00600","0000002000","0001200000"
23001700514,"022111",1,NA,"00100","0000002000","0000200000"
23001700914,"022111",1,NA,"00600","0000002000","0001200000"
23001701302,"022111",1,NA,"00060","0000003500","0000210000"
23002702117,"022111",1,NA,"00300","0000002000","0000600000"
23002702502,"022111",1,NA,"00300","0000002000","0000600000"
23002702508,"022111",1,NA,"00600","0000002500","0001500000"
23002702905,"022113",1,NA,"00060","0000003000","0000180000"
23001700902,"022111",1,NA,"00300","0000002250","0000675000"
23001700511,"022111",1,NA,"00150","0000002500","0000375000"
23002702108,"022111",1,NA,"00600","0000003000","0001800000"
23002702114,"022111",7,NA,"00600","0000002000","0001200000"
23002702505,"022111",1,NA,"00300","0000002000","0000600000"
23002702517,"022111",1,NA,"00100","0000002000","0000200000"
23006708508,"022113",1,NA,"00200","0000002500","0000500000"
23006708905,"022113",1,NA,"00600","0000002250","0001350000"
23006709705,"022113",1,NA,"00300","0000002250","0000675000"
23006709311,"022115",1,NA,NA,NA,"0000120000"
23006709305,"022115",1,NA,NA,NA,"0000130000"
23006708911,"022113",1,NA,"00600","0000002500","0001500000"
23006708111,"022111",1,NA,"00300","0000002500","0000750000"
20303417314,"022113",1,NA,"01200","0000001500","0001800000"
20320424911,"022113",1,NA,"01500","0000002500","0003750000"
20320424911,"023111",1,NA,NA,NA,"0004500000"
20320424902,"022113",1,NA,"00600","0000002500","0001500000"
20306418914,"022113",1,NA,"01000","0000002000","0002000000"
20306418905,"022113",1,NA,"00900","0000002000","0001800000"
20306418905,"022115",1,NA,NA,NA,"0000600000"
20312422111,"022113",1,NA,"00900","0000002000","0001800000"
20325426917,"022113",1,NA,"00600","0000002000","0001200000"
20325426902,"022113",1,NA,"00090","0000003000","0000270000"
20322426114,"022113",1,NA,"01200","0000002000","0002400000"
20320424517,"022113",1,NA,"00300","0000003000","0000900000"
20320424517,"023111",1,NA,NA,NA,"0001500000"
20325427308,"022113",1,NA,"01200","0000001250","0001500000"
20325427311,"022113",1,NA,"01200","0000001200","0001440000"
20325427311,"023111",1,NA,NA,NA,"0001000000"
20303417702,"022113",1,NA,"00200","0000002500","0000500000"
20322426102,"022115",1,NA,NA,NA,"0000600000"
20319424114,"022111",1,NA,"01200","0000002000","0002400000"
20319424111,"022113",1,NA,"00600","0000003000","0001800000"
20305418508,"022113",1,NA,"01200","0000002500","0003000000"
20302416908,"022113",1,NA,"00600","0000003000","0001800000"
20306419317,"022113",1,NA,"00200","0000001500","0000300000"
20306419311,"022113",1,NA,"00100","0000001200","0000120000"
20311421317,"022113",1,NA,"00160","0000002500","0000400000"
20307419717,"022113",1,NA,"01200","0000001750","0002100000"
20322425714,"022113",1,NA,"00150","0000002000","0000300000"
20303417308,"022113",1,NA,"01200","0000003000","0003600000"
20322425717,"022113",1,NA,"00060","0000002500","0000150000"
20322425705,"022111",1,NA,"00600","0000002250","0001350000"
