"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
"000051102","01",NA,"0060000000",NA,NA,NA,NA
"000051102","03",NA,"0030000000",NA,NA,NA,NA
"000051102","04",NA,"0030000000",NA,NA,NA,NA
"000051104","01",NA,NA,NA,"0003100000",NA,"0004800000"
"000051105","01","0013000000",NA,NA,NA,NA,NA
"000041086","01",NA,"0001900000",NA,NA,NA,NA
"000041089","01",NA,NA,NA,"0002850000",NA,"0001300000"
"000031079","01",NA,NA,NA,"0003800000",NA,NA
"000031076","01",NA,NA,NA,"0003100000",NA,"0000500000"
"000031077","01",NA,NA,NA,"0003200000",NA,"0001300000"
"000031078","01",NA,NA,NA,"0003100000",NA,NA
"000031080","05",NA,NA,NA,"0003100000",NA,NA
"000011033","01","0041750000",NA,NA,NA,NA,NA
"000071170","01",NA,NA,NA,NA,NA,"0012000000"
"000031067","01",NA,NA,NA,NA,NA,"0000720000"
"000031068","01",NA,NA,NA,NA,NA,"0000800000"
"000031070","01",NA,"0015000000",NA,NA,NA,NA
"000011035","01","0047350000",NA,NA,NA,NA,NA
"000071169","01",NA,NA,NA,NA,NA,"0001200000"
"000071169","02",NA,NA,NA,NA,"0000600000",NA
"000011023","01",NA,NA,NA,"0003300000",NA,"0001500000"
"000011025","01",NA,NA,NA,"0004700000",NA,NA
"000011021","01",NA,NA,NA,NA,NA,"0006000000"
"000011061","01",NA,NA,NA,"0004200000",NA,"0000550000"
"000011062","01",NA,NA,NA,NA,NA,"0002000000"
"000011063","01",NA,NA,NA,"0003200000","0000350000","0003600000"
"000011064","01",NA,NA,NA,"0003100000",NA,NA
"000011064","03",NA,NA,NA,NA,"0002500000",NA
"000011064","04",NA,NA,NA,NA,"0002500000",NA
"000011065","01",NA,NA,NA,NA,"0000350000",NA
"000011005","01",NA,NA,NA,"0003500000",NA,"0001500000"
"000071153","03",NA,NA,NA,"0003100000",NA,NA
"000061126","01",NA,NA,NA,"0002550000",NA,"0001200000"
"000061127","01",NA,NA,NA,"0003600000",NA,"0002400000"
"000061130","01",NA,NA,NA,"0003100000",NA,"0000500000"
"000061128","01",NA,NA,NA,"0003100000",NA,"0001500000"
"000061129","01",NA,NA,NA,"0003100000",NA,"0002500000"
"000071159","01",NA,"0005400000",NA,NA,NA,NA
"000061109","01",NA,NA,NA,"0003500000",NA,"0007500000"
"000061108","01",NA,NA,NA,"0003500000",NA,NA
"000041094","01","0020480000",NA,NA,NA,NA,NA
"000041091","01",NA,NA,NA,"0003300000",NA,NA
"000041092","01",NA,NA,NA,"0003500000",NA,NA
"000041095","01","0012000000",NA,NA,NA,NA,NA
"000061106","01",NA,NA,NA,"0003700000",NA,"0001500000"
"000071139","02",NA,NA,NA,"0013500000",NA,NA
"000071139","03",NA,NA,NA,"0001700000",NA,NA
"000071151","01",NA,NA,NA,NA,NA,"0006000000"
"000071155","05",NA,NA,"0012000000",NA,NA,NA
"000071140","01",NA,NA,NA,"0003100000",NA,NA
"000061110","01",NA,NA,NA,NA,NA,"0006000000"
"000011004","01",NA,"0006000000",NA,NA,NA,NA
"000011048","01",NA,"0000850000",NA,"0012000000",NA,NA
"000061124","01",NA,NA,NA,"0003570000",NA,NA
"000041083","01",NA,NA,NA,NA,NA,"0004000000"
"000041081","01",NA,NA,NA,"0003400000",NA,NA
"000041084","01",NA,NA,NA,"0002675000",NA,NA
"000041085","01",NA,NA,NA,"0005850000",NA,NA
"000041099","01",NA,NA,NA,NA,NA,"0001200000"
"000071141","01",NA,"0003000000",NA,"0001650000",NA,"0000120000"
"000071141","02",NA,NA,NA,"0001650000","0000320000",NA
"000011045","01","0012500000",NA,NA,NA,NA,NA
"000011058","01",NA,NA,NA,NA,NA,"0003000000"
"000011056","01",NA,NA,NA,"0004300000",NA,NA
"000011059","01",NA,NA,NA,"0004300000",NA,NA
"000071162","01",NA,"0035000000",NA,NA,NA,NA
"000011006","01",NA,"0002000000",NA,NA,NA,"0002000000"
"000011008","01",NA,NA,NA,"0001440000",NA,NA
"000011042","01","0020500000",NA,NA,NA,NA,NA
"000011057","01",NA,NA,NA,"0000700000",NA,NA
"000071164","02",NA,NA,NA,NA,NA,"0000400000"
"000071161","01",NA,NA,"0008400000",NA,NA,"0012000000"
"000061117","01",NA,NA,NA,NA,NA,"0002000000"
"000071146","01",NA,NA,NA,"0003850000",NA,NA
"000071147","01",NA,"0008000000",NA,NA,NA,NA
"000071149","01",NA,NA,NA,"0003450000",NA,NA
"000061134","01",NA,NA,NA,"0007250000",NA,NA
"000061133","01",NA,NA,NA,"0005200000",NA,NA
"000061132","01",NA,NA,NA,"0005200000",NA,"0000500000"
"000061135","01",NA,NA,NA,"0003100000",NA,NA
"000011029","01",NA,NA,NA,NA,NA,"0003600000"
"000011012","01",NA,NA,NA,"0005800000",NA,"0002000000"
"000022061","01",NA,NA,NA,"0002800000",NA,"0003000000"
"000012002","01",NA,"0003000000",NA,NA,NA,"0009600000"
"000012005","01",NA,"0007500000",NA,NA,NA,"0003000000"
"000012053","01",NA,NA,NA,"0004350000",NA,"0001500000"
