"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1060045122,"04","مغازه شيشه بري",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1178,1,"Admin",NA,"Admin",NA
1060045115,"04","کارگرساختماني",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,889,0,"Admin",NA,"Admin",NA
1060045116,"04","دبيرمدرسه راهنمايي",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,1025,0,"Admin",NA,"Admin",NA
1060045112,"04","کارگرساختماني",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,1140,0,"Admin",NA,"Admin",NA
1060045121,"04","داراي درامدبدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,836,0,"Admin",NA,"Admin",NA
1060025057,"02",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060025060,"02",NA,NA,2,NA,3,NA,2,NA,2,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060081100,"04","بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000008","101",5,1,0,"Admin",NA,NA,NA
1060081107,"04","مدير هنرستان",1,2,NA,1,NA,1,NA,NA,NA,"000008","108",5,968,2,"Admin",NA,"Admin",NA
1060081095,"04","بازنشسته هفت تپه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1075,3,"Admin",NA,"Admin",NA
1060037062,"02","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000015","061",5,850,0,"Admin",NA,"Admin",NA
1060037058,"02","کارمند امورمالي شرکت نصر ميثاق",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,904,0,"Admin",NA,"Admin",NA
1060037056,"02","انبار دار شرکت نصر ميثاق",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1056,0,"Admin",NA,"Admin",NA
1060037068,"02","کارمند شرکت صنايع فولاد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1251,3,"Admin",NA,"Admin",NA
1060025063,"02","رئيس اداره بيمه خدمات درماني",1,2,NA,2,NA,1,NA,NA,NA,"000002","061",5,949,0,"Admin",NA,"Admin",NA
1060037064,"02","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1052,0,"Admin",NA,"Admin",NA
1060033070,"04","دفتردار نيروي انتظامي",1,2,NA,1,NA,1,NA,NA,NA,"000015","072",4,1129,2,"Admin",NA,"Admin",NA
1060033069,"04","کارگر راه اهن",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1024,0,"Admin",NA,"Admin",NA
1060033058,"04","خريد و فروش ماشين",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1084,0,"Admin",NA,"Admin",NA
1060033064,"04","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1098,0,"Admin",NA,"Admin",NA
1060033063,"04","کارمند بانک ملي (متصدي امور بانکي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1219,0,"Admin",NA,"Admin",NA
1060054248,"06","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,838,0,"Admin",NA,"Admin",NA
1060054239,"06","مستمر بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,877,0,"Admin",NA,"Admin",NA
1060054242,"06","کارگر ساده ساختمان",1,2,NA,1,NA,1,NA,NA,NA,"000019","243",5,831,0,"Admin",NA,"Admin",NA
1060054246,"06","کارگر ساده ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,831,0,"Admin",NA,"Admin",NA
1060054251,"06","کارگر فضاي سبز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,796,0,"Admin",NA,"Admin",NA
1060038169,"05","کارگر کارگاه در و پنجره سازي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1125,1,"Admin",NA,"Admin",NA
1060038175,"05","مهندس عمران (مسئول دستگاه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1163,0,"Admin",NA,"Admin",NA
1060038172,"06","راننده تاکسي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,959,0,"Admin",NA,"Admin",NA
1060038167,"05","تعميرات پمپ تراک",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1189,0,"Admin",NA,"Admin",NA
1060074054,"05","در امد بدون کار",1,2,NA,4,NA,1,NA,NA,NA,"000064","056",5,725,0,"Admin",NA,"Admin",NA
1060074058,"05","تحت پوشش بهزيستي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,859,0,"Admin",NA,"Admin",NA
1060074051,"05","تحت نظر بهزيستي",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,938,0,"Admin",NA,"Admin",NA
1060074064,"05","کمک جوشکار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,764,0,"Admin",NA,"Admin",NA
1060074060,"05","مستمر بگير داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000064","062",5,766,0,"Admin",NA,"Admin",NA
1060062177,"05","نگهبان کشتارگاه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,924,1,"Admin",NA,"Admin",NA
1060062165,"05","روضه خوان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,825,0,"Admin",NA,"Admin",NA
1060062172,"05","بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000010","173",5,720,0,"Admin",NA,"Admin",NA
1060062167,"05","لوله کشي اب منازل",1,2,NA,1,NA,1,NA,NA,NA,"000010","166",4,797,0,"Admin",NA,"Admin",NA
1060062169,"05","راننده ميني بوس",1,2,NA,4,NA,1,NA,NA,NA,"000010","170",4,927,0,"Admin",NA,"Admin",NA
1060014060,"05","کارگر ساختماني",1,2,NA,1,NA,1,NA,NA,NA,"000004","061",4,748,1,"Admin",NA,"Admin",NA
1060014072,"05","مستمر بگير",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,791,0,"Admin",NA,"Admin",NA
1060014062,"05","اتش نشان",1,2,NA,1,NA,1,NA,NA,NA,"000004","064",5,810,0,"Admin",NA,"Admin",NA
1060014067,"05","نيروي انتظامي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,812,0,"Admin",NA,"Admin",NA
1060014068,"05","کارگر اشپزخانه",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,851,0,"Admin",NA,"Admin",NA
1060086111,"05","مستمري بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,875,1,"Admin",NA,"Admin",NA
1060086118,"05","راننده ميني بوس",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,963,2,"Admin",NA,"Admin",NA
1060086120,"05","چونه گير نانوايي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,729,1,"Admin",NA,"Admin",NA
1060086110,"05","مستمر بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,962,0,"Admin",NA,"Admin",NA
1060086115,"05","کارگر ساده ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,980,0,"Admin",NA,"Admin",NA
1060002170,"05","بازنشسته شهرداري",1,2,NA,2,NA,1,NA,NA,NA,"000005","169",5,707,0,"Admin",NA,"Admin",NA
1060002168,"05","نگهبان محله",1,2,NA,1,NA,1,NA,NA,NA,"000005","166",5,832,0,"Admin",NA,"Admin",NA
1060002158,"05","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,717,0,"Admin",NA,"Admin",NA
1060002162,"05","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,774,0,"Admin",NA,"Admin",NA
1060002164,"05","متصدي امور بانکي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1053,0,"Admin",NA,"Admin",NA
1060098056,"05","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,610,2,"Admin",NA,"Admin",NA
1060098053,"05","آتش نشان",1,2,NA,1,NA,1,NA,NA,NA,"000021","054",5,787,0,"Admin",NA,"Admin",NA
1060098067,"05","راننده پيکان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1013,0,"Admin",NA,"Admin",NA
1060098064,"05","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000026","062",5,971,0,"Admin",NA,"Admin",NA
1060098060,"05","کارگر ساده ساختماني",1,2,NA,1,NA,1,NA,NA,NA,"000024","061",5,1183,0,"Admin",NA,"Admin",NA
1060110073,"05","از کار افتاده",1,2,NA,1,NA,1,NA,NA,NA,"000016","071",5,691,0,"Admin",NA,"Admin",NA
1060110070,"05","مستمر بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,715,0,"Admin",NA,"Admin",NA
1060110060,"05","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,785,0,"Admin",NA,"Admin",NA
1060110066,"05","کارگر حمل بار در کشتي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,919,1,"Admin",NA,"Admin",NA
1060110064,"05","ماهي فروش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,889,0,"Admin",NA,"Admin",NA
1060102012,"06","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,986,0,"Admin",NA,"Admin",NA
1060102009,"06","مستمر بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,806,0,"Admin",NA,"Admin",NA
1060102005,"06","از کار افتاده",1,2,NA,1,NA,1,NA,NA,NA,"000001","004",5,814,0,"Admin",NA,"Admin",NA
1060102013,"06","معاون دبيرستان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,998,0,"Admin",NA,"Admin",NA
1060102017,"06","حراست",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,806,0,"Admin",NA,"Admin",NA
1060058014,"07",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060058016,"07","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,712,0,"Admin",NA,"Admin",NA
1060058011,"06","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,772,0,"Admin",NA,"Admin",NA
1060058009,"07","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,799,1,"Admin",NA,"Admin",NA
1060058004,"07","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000001","006",5,1071,0,"Admin",NA,"Admin",NA
1060094211,"07","مستمر ي بگير کميته امداد",1,2,NA,1,NA,1,NA,NA,NA,"000012","210",5,737,0,"Admin",NA,"Admin",NA
1060094204,"07","راننده تاکسي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,773,1,"Admin",NA,"Admin",NA
1060094206,"07","لبنيات فروش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,822,0,"Admin",NA,"Admin",NA
1060094202,"07","فروشنده لوازم ارايشي و بهداشتي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,816,0,"Admin",NA,"Admin",NA
1060094214,"07","نگهبان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,966,0,"Admin",NA,"Admin",NA
1060118009,"07","کارگر ساده مرغداري",1,2,NA,2,NA,1,NA,NA,NA,"000006","007",5,1027,0,"Admin",NA,"Admin",NA
1060118005,"07","بازنشسته  (داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,718,0,"Admin",NA,"Admin",NA
1060118010,"07","کارگر ساده ساختماني",1,2,NA,2,NA,1,NA,NA,NA,"000006","011",5,834,0,"Admin",NA,"Admin",NA
1060118015,"07","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000006","013",5,807,0,"Admin",NA,"Admin",NA
1060118017,"07","بيکار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,907,1,"Admin",NA,"Admin",NA
1060114071,"06","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000003","070",5,587,0,"Admin",NA,"Admin",NA
1060114067,"06","کارگر ساده ي ماسه شويي",1,2,NA,1,NA,1,NA,NA,NA,"000003","069",5,821,0,"Admin",NA,"Admin",NA
1060114060,"06","آموزگار ابتدايي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,825,1,"Admin",NA,"Admin",NA
1060114064,"06","داراي درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,906,0,"Admin",NA,"Admin",NA
1060114062,"06","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,927,0,"Admin",NA,"Admin",NA
1060106060,"07","حراست شرکت گاز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,814,0,"Admin",NA,"Admin",NA
1060106068,"07","بازنشسته نيروي مسلح",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,831,0,"Admin",NA,"Admin",NA
1060106063,"07","متصدي اپراتور",1,2,NA,1,NA,1,NA,NA,NA,"000051","064",5,826,0,"Admin",NA,"Admin",NA
1060106057,"07","بازنشسته شرکت نفت",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,920,0,"Admin",NA,"Admin",NA
1060106067,"07","مسئول امور دانشجوئي",1,2,NA,7,"30",NA,NA,NA,NA,NA,NA,5,971,0,"Admin",NA,"Admin",NA
1060026164,"05","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,617,1,"Admin",NA,"Admin",NA
1060026161,"05","فروشنده لوازم صوتي و تصويري",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1101,0,"Admin",NA,"Admin",NA
1060026157,"05","مهندس کشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1245,0,"Admin",NA,"Admin",NA
1060026166,"05","ازمايشگر شرکت اب و فاضلاب خوزستان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1096,1,"Admin",NA,"Admin",NA
1060050123,"05","داراي در امد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,725,0,"Admin",NA,"Admin",NA
1060050114,"05","تعمير کننده موتورهاي قايق",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,980,0,"Admin",NA,"Admin",NA
1060050121,"05","راننده تاکسي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,977,3,"Admin",NA,"Admin",NA
1060050117,"05","تعمير کننده ابگرمکن",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1102,0,"Admin",NA,"Admin",NA
1060078196,"06","کاشي کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1012,0,"Admin",NA,"Admin",NA
1060078199,"06","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000020","200",5,819,0,"Admin",NA,"Admin",NA
1060078209,"06","مغازه دار خواروبار فروشي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,996,0,"Admin",NA,"Admin",NA
1060078204,"06","راننده تاکسي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1001,0,"Admin",NA,"Admin",NA
1060078207,"06","تکنيسين برق سازمان اب و فاضلاب",1,2,NA,2,NA,1,NA,NA,NA,"000021","206",5,1199,0,"Admin",NA,"Admin",NA
1060066100,"06","حراست شهرک ممکو",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,943,0,"Admin",NA,"Admin",NA
1060066111,"06","جوشکار شرکت پتروشيمي",1,2,NA,1,NA,1,NA,NA,NA,"000014","110",5,852,0,"Admin",NA,"Admin",NA
1060066108,"06","بازنشسته پتروشيمي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1018,1,"Admin",NA,"Admin",NA
1060066104,"06","در امد بدون کار بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000013","105",5,1201,0,"Admin",NA,"Admin",NA
1060066103,"06","رئيس خدمات فرودگاه ماهشهر",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1175,0,"Admin",NA,"Admin",NA
1060042110,"06",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060042113,"06",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060042104,"06","راننده ترابري",1,2,NA,1,NA,1,NA,NA,NA,"000014","105",5,1035,1,"Admin",NA,"Admin",NA
1060042117,"06","کارگر جوشکار",1,2,NA,1,NA,1,NA,NA,NA,"000015","116",5,890,0,"Admin",NA,"Admin",NA
1060042108,"06","کارگر ساختماني",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,780,0,"Admin",NA,"Admin",NA
1060010105,"07","نجار ساخت کمد و درب چوبي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,720,2,"Admin",NA,"Admin",NA
1060010107,"07","راننده ماشين سنگين",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,760,0,"Admin",NA,"Admin",NA
1060010101,"07","بازنشسته",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1033,0,"Admin",NA,"Admin",NA
1060010098,"07","مستمر بگير کميته امداد",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,743,0,"Admin",NA,"Admin",NA
1060010112,"07","بازنشسته نظامي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,944,0,"Admin",NA,"Admin",NA
1060082018,"07","بيکار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,799,0,"Admin",NA,"Admin",NA
1060082009,"07","خانه دار",1,2,NA,1,NA,1,NA,NA,NA,"000001","007",5,707,0,"Admin",NA,"Admin",NA
1060082015,"07","داراي در امد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000001","013",5,634,0,"Admin",NA,"Admin",NA
1060082005,"07","صيفي کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,920,1,"Admin",NA,"Admin",NA
1060082012,"07","صيفي کار",1,2,NA,1,NA,1,NA,NA,NA,"000001","011",5,767,0,"Admin",NA,"Admin",NA
1060018009,"06","مستمر ي بگير",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,849,1,"Admin",NA,"Admin",NA
1060018005,"06","راننده تاکسي",1,2,NA,1,NA,1,NA,NA,NA,"000001","004",5,828,0,"Admin",NA,"Admin",NA
1060018015,"06","ساندويج فروش",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,910,1,"Admin",NA,"Admin",NA
1060018010,"06","شاگرد بنگاه املاک",1,2,NA,2,NA,1,NA,NA,NA,"000001","012",5,980,0,"Admin",NA,"Admin",NA
1060018018,"06","نماينده پيمانکار خطوط گاز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1116,0,"Admin",NA,"Admin",NA
1060030066,"06",NA,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060030060,"06","مسئول گيم نت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,928,0,"Admin",NA,"Admin",NA
1060030065,"06","کارمند بايگاني بانک",1,2,NA,1,NA,1,NA,NA,NA,"000001","063",5,1130,0,"Admin",NA,"Admin",NA
1060030073,"06","بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000001","072",5,996,0,"Admin",NA,"Admin",NA
1060030071,"06","مدير فني فرودگاه شرکت گاز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1199,0,"Admin",NA,"Admin",NA
1060070120,"07",NA,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060090015,"06",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060090007,"06",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060090006,"06",NA,NA,2,NA,1,NA,2,NA,2,NA,NA,NA,5,1,0,"Admin",NA,NA,NA
1060070113,"07","خانه دار",1,2,NA,1,NA,1,NA,NA,NA,"000016","112",4,365,1,"Admin",NA,"Admin",NA
1060070106,"07","مهندس مکانيک شرکت نفت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,933,0,"Admin",NA,"Admin",NA
