"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04"
10007007329,"042111",NA,NA,"0004000000"
10007007329,"044111",NA,1,"0000065000"
10005004925,"042111",NA,NA,"0003000000"
10005004925,"044111",NA,1,"0000060000"
10005004925,"044311",NA,1,"0000030000"
10005004925,"045111",NA,1,"0000310000"
10005004925,"045211",NA,1,"0000460000"
10005004932,"041111",NA,1,"0005000000"
10005004932,"042212","0040000000",1,"0001200000"
10005004932,"044111",NA,1,"0000150000"
10005004932,"045111",NA,1,"0000200000"
10005004932,"045211",NA,1,"0001500000"
10010008532,"042111",NA,NA,"0002000000"
10010008532,"044111",NA,1,"0000366000"
10010008532,"045111",NA,1,"0000380000"
10010008532,"045211",NA,1,"0000410000"
10010008530,"042111",NA,NA,"0002000000"
10010008530,"044111",NA,1,"0000300000"
10010008530,"045111",NA,1,"0000400000"
10010008530,"045211",NA,1,"0001000000"
10010008541,"042111",NA,NA,"0004000000"
10010008541,"044111",NA,1,"0000070000"
10010008541,"045111",NA,1,"0000270000"
10010008541,"045211",NA,1,"0000420000"
10010008538,"042111",NA,NA,"0005000000"
10010008538,"044111",NA,1,"0000080000"
10010008538,"045111",NA,1,"0000320000"
10010008538,"045211",NA,1,"0000380000"
10007007334,"042111",NA,NA,"0004000000"
10007007334,"044111",NA,1,"0000071000"
10006006129,"041111",NA,1,"0001000000"
10006006129,"042212","0060000000",1,"0001800000"
10006006129,"044111",NA,1,"0000180000"
10006006129,"045111",NA,1,"0000220000"
10006006129,"045211",NA,1,"0000300000"
10001001341,"042111",NA,NA,"0008000000"
10001001341,"044111",NA,1,"0000190000"
10001001341,"044311",NA,1,"0000060000"
10001001341,"045111",NA,1,"0000250000"
10001001341,"045211",NA,1,"0000280000"
10012009738,"042111",NA,NA,"0001500000"
10012009738,"044111",NA,1,"0000100000"
10012009738,"045111",NA,1,"0000152000"
10012009738,"045211",NA,1,"0000270000"
10006006133,"042111",NA,NA,"0004000000"
10006006133,"044111",NA,1,"0000160000"
10006006133,"045111",NA,1,"0000300000"
10006006133,"045211",NA,1,"0000330000"
10006006141,"042214",NA,8,"0004800000"
10006006141,"044111",NA,1,"0000200000"
10006006141,"045111",NA,1,"0000280000"
10006006141,"045211",NA,1,"0000450000"
10001001332,"042111",NA,NA,"0010000000"
10001001332,"044111",NA,1,"0000175000"
10001001332,"044311",NA,1,"0000050000"
10001001332,"045111",NA,1,"0000200000"
10001001332,"045211",NA,1,"0000250000"
10005004938,"042111",NA,NA,"0004500000"
10005004938,"044111",NA,1,"0000080000"
10005004938,"044311",NA,1,"0000035000"
10005004938,"045111",NA,1,"0000150000"
10005004938,"045211",NA,1,"0000600000"
10001002541,"042111",NA,NA,"0003200000"
10001002541,"044111",NA,1,"0000087000"
10001002541,"045111",NA,1,"0000146000"
10001002541,"045211",NA,1,"0000320000"
10001002531,"041111",NA,1,"0002600000"
10001002531,"042212","0010000000",1,"0000300000"
10001002531,"044111",NA,1,"0000067000"
10001002531,"045111",NA,1,"0000093000"
10001002531,"045211",NA,1,"0000217000"
10001002538,"042111",NA,NA,"0002900000"
10001002538,"044111",NA,1,"0000220000"
10001002538,"044311",NA,1,"0000130000"
10001002538,"045111",NA,1,"0000200000"
10001002538,"045211",NA,1,"0000600000"
10006006138,"042111",NA,NA,"0005500000"
10006006138,"044111",NA,1,"0000240000"
10006006138,"045111",NA,1,"0000150000"
10006006138,"045211",NA,1,"0000280000"
10012009741,"042111",NA,NA,"0001500000"
10012009741,"044111",NA,1,"0000050000"
10006006130,"041111",NA,1,"0001500000"
10006006130,"042212","0100000000",1,"0003000000"
10006006130,"044111",NA,1,"0000160000"
10006006130,"045111",NA,1,"0000280000"
10006006130,"045211",NA,1,"0000300000"
10012009741,"045111",NA,1,"0000100000"
10012009741,"045211",NA,1,"0000150000"
10012009725,"042111",NA,NA,"0002000000"
10012009725,"044111",NA,1,"0000150000"
10012009725,"045211",NA,1,"0000250000"
10012009733,"042111",NA,NA,"0001000000"
10012009733,"044111",NA,1,"0000300000"
10012009733,"045111",NA,1,"0000220000"
10012009733,"045211",NA,1,"0000300000"
10006006134,"042111",NA,NA,"0003800000"
10006006134,"044111",NA,1,"0000160000"
10006006134,"045111",NA,1,"0000260000"
10006006134,"045211",NA,1,"0000320000"
10001000127,"042111",NA,NA,"0004000000"
10001000127,"044111",NA,1,"0000200000"
10001000127,"045111",NA,1,"0000380000"
10001000127,"045211",NA,1,"0000670000"
10001000135,"042111",NA,NA,"0004000000"
10001000135,"044111",NA,1,"0000085000"
10001000135,"045111",NA,1,"0000160000"
10001000135,"045211",NA,1,"0000340000"
10001000132,"042111",NA,NA,"0004500000"
10001000132,"044111",NA,1,"0000130000"
10001000132,"045111",NA,1,"0000197000"
10001000138,"042111",NA,NA,"0003500000"
10001000138,"044111",NA,1,"0000130000"
10001000138,"045111",NA,1,"0000230000"
10001000138,"045211",NA,1,"0000460000"
10005004935,"041111",NA,1,"0000200000"
10005004935,"042212","0210000000",1,"0006300000"
10005004935,"044111",NA,1,"0000300000"
10005004935,"045111",NA,1,"0000500000"
10005004935,"045211",NA,1,"0001300000"
10001002535,"042214",NA,8,"0003500000"
10001002535,"044111",NA,1,"0000096000"
10001002535,"045111",NA,1,"0000198000"
10001002535,"045211",NA,1,"0000410000"
10001002530,"042111",NA,NA,"0003000000"
10001002530,"044111",NA,1,"0000120000"
10001002530,"045111",NA,1,"0000240000"
10001002530,"045211",NA,1,"0000400000"
10001001336,"042111",NA,NA,"0008000000"
10001001336,"044111",NA,1,"0000150000"
10001001336,"044311",NA,1,"0000070000"
10001001336,"045111",NA,1,"0000125000"
10001001336,"045211",NA,1,"0000280000"
10001002529,"042111",NA,NA,"0004000000"
10001002529,"044111",NA,1,"0000075000"
10001002529,"045111",NA,1,"0000128000"
10001000132,"045211",NA,1,"0000430000"
10001000126,"042111",NA,NA,"0005000000"
10001000126,"044111",NA,1,"0000140000"
10001000126,"045111",NA,1,"0000360000"
10001000126,"045211",NA,1,"0000450000"
10004004134,"042214",NA,8,"0004000000"
10004004134,"044111",NA,1,"0000200000"
10004004134,"044311",NA,1,"0000030000"
10004004134,"045111",NA,1,"0000300000"
10004004134,"045211",NA,1,"0000200000"
10004004130,"042111",NA,NA,"0003000000"
10004004130,"044111",NA,1,"0000284000"
10004004130,"044311",NA,1,"0000072000"
10004004130,"045111",NA,1,"0000270000"
10004004130,"045211",NA,1,"0000150000"
10004004130,"045212",NA,1,"0000040000"
10004004141,"042111",NA,NA,"0004300000"
10004004141,"044111",NA,1,"0000130000"
10004004141,"044311",NA,1,"0000065000"
10004004141,"045111",NA,1,"0000220000"
10004004141,"045211",NA,1,"0000400000"
10004004138,"041111",NA,1,"0004000000"
10004004138,"042212","0030000000",1,"0000900000"
10004004138,"044111",NA,1,"0000120000"
