"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
20007017925,"01",1,8322,"49230",5,2,12,1,NA,"00000040000000","00000035000000","00000020000000","00000003000000","180000000",8.2e+07
20013023737,"01",1,6111,"01110",4,1,8,5,NA,"00000005700000",NA,"00000017000000",NA,"283000000",260300000
20013023725,"01",1,8322,"49230",5,2,10,2,NA,"00000080000000","00000005000000","00000006000000",NA,"360000000",2.69e+08
20007017926,"01",1,6121,"01440",5,1,2,7,NA,"00000015000000",NA,NA,NA,"36800000",21800000
20007017926,"02",1,6121,"01440",6,1,4,7,NA,NA,NA,NA,NA,NA,0
20001011432,"01",1,6111,"01110",4,1,8,6,"00000020000000","00000038000000","00000003000000","00000022000000",NA,"350000000",2.67e+08
20003012628,"01",1,6111,"01110",5,1,5,3,NA,"00000003400000",NA,NA,NA,"15000000",11600000
20003012628,"03",1,6111,"01110",6,1,7,6,NA,NA,NA,NA,NA,NA,0
20013023731,"01",1,6111,"01110",4,1,8,7,NA,"00000015400000",NA,"00000011250000",NA,"91000000",64350000
20013023731,"01",1,6121,"01440",4,1,5,7,"00000000900000","00000087000000",NA,"00000002200000",NA,"233500000",143400000
20007017934,"01",1,6111,"01110",5,1,5,7,NA,"00000046000000","00000007000000","00000014000000",NA,"85000000",1.8e+07
20007017934,"01",1,6121,"01440",5,1,6,7,NA,"00000150500000",NA,NA,NA,"170000000",19500000
20013023740,"01",1,6111,"01110",5,1,5,7,NA,"00000003000000",NA,"00000011000000",NA,"22000000",8e+06
20013023729,"01",1,6121,"01440",4,1,10,7,"00000060000000","00000061500000","00000005000000","00000007000000",NA,"533500000",4e+08
20013023733,"01",1,6111,"01110",4,1,7,5,NA,"00000015400000","00000001000000","00000011250000",NA,"91000000",63350000
20013023733,"01",1,6121,"01440",4,1,4,7,"00000000900000","00000087000000",NA,"00000002200000",NA,"233500000",143400000
20013023733,"02",1,6121,"01440",6,1,3,7,NA,NA,NA,NA,NA,NA,0
20009019137,"01",1,6111,"01110",5,1,10,7,"00000003000000","00000019800000","00000005000000","00000014500000",NA,"125150000",82850000
20012022537,"01",1,6112,"01240",4,1,10,7,"00000015000000","00000003950000",NA,"00000002500000",NA,"160000000",138550000
20012022532,"01",1,6112,"01240",4,1,10,5,"00000015000000","00000003000000","00000000300000","00000018000000",NA,"150000000",113700000
20004013834,"01",1,6121,"01440",5,1,1,4,NA,"00000030300000",NA,NA,NA,"65000000",34700000
20004013834,"02",1,6121,"01440",6,1,1,7,NA,NA,NA,NA,NA,NA,0
20012022525,"01",1,6112,"01240",4,1,8,5,"00000005000000","00000004300000","00000001000000","00000015500000",NA,"105000000",79200000
20004013832,"01",1,6121,"01440",5,1,4,7,"00000005400000","00000025000000",NA,NA,NA,"1050000000",1019600000
20004014337,"01",1,5224,"47212",5,2,8,7,NA,"00000170000000","00000000500000","00000014000000",NA,"294000000",109500000
20003013030,"01",1,8322,"49230",5,2,3,6,NA,"00000012500000","00000008000000","00000012000000","00000000200000","71200000",38500000
20006015534,"01",1,6112,"01240",5,1,7,7,"00000012000000","00000010000000","00000008000000","00000004000000",NA,"250000000",2.16e+08
20006015534,"04",1,6112,"01240",6,1,7,7,NA,NA,NA,NA,NA,NA,0
20006015534,"01",1,6121,"01440",5,1,4,7,"00000006000000","00000070000000",NA,NA,NA,"200000000",1.24e+08
20004014325,"01",1,6121,"01440",5,1,5,7,NA,"00000060000000","00000002500000",NA,NA,"90000000",27500000
20010020332,"01",1,6121,"01440",4,1,5,3,"00000015000000","00000060000000",NA,NA,NA,"170000000",9.5e+07
20006015531,"01",1,8322,"49230",5,2,6,2,NA,"00000027000000","00000010000000","00000015000000","00000001000000","80000000",2.7e+07
20006015531,"01",1,6112,"01240",5,1,5,7,"00000030000000","00000038000000","00000007000000","00000020000000",NA,"200000000",1.05e+08
20006015531,"01",1,6121,"01440",5,1,6,7,"00000005000000","00000060000000",NA,NA,NA,"182240000",117240000
20006015540,"01",1,6112,"01240",4,1,7,5,"00000030000000","00000018000000",NA,NA,NA,"110000000",6.2e+07
20006015540,"01",1,6111,"01110",4,1,6,7,"00000150000000","00000310000000","00000001000000","00000035000000",NA,"700000000",2.04e+08
20006015530,"01",1,2652,"90002",5,2,5,1,"00000010000000",NA,"00000000100000",NA,NA,"75000000",64900000
20006015530,"01",1,6121,"01440",5,1,5,7,NA,"00000020000000",NA,NA,NA,"38000000",1.8e+07
20012022929,"01",1,8322,"49220",5,2,6,7,NA,"00000020000000","00000001000000",NA,NA,"105000000",8.4e+07
20012022925,"01",1,8322,"49230",5,2,7,5,NA,"00000022000000","00000020000000","00000004000000",NA,"136000000",9e+07
20006016627,"01",1,8322,"49230",5,2,5,6,NA,"00000024000000","00000015000000","00000007800000","00000001000000","85000000",37200000
20006015825,"03",1,5143,"96020",5,2,8,6,NA,"00000002500000","00000000100000","00000003000000",NA,"55000000",49400000
20001011840,"01",1,6111,"01110",5,1,9,7,"00000001500000","00000014000000",NA,"00000011000000",NA,"130000000",103500000
20001011832,"01",1,7126,"43220",5,2,10,6,NA,"00000001000000","00000004000000",NA,NA,"70000000",6.5e+07
20001011835,"01",1,6111,"01110",5,1,9,7,"00000003000000","00000023000000",NA,"00000020000000",NA,"130000000",8.4e+07
20011020834,"01",1,6112,"01240",4,1,8,4,"00000005000000","00000005000000","00000003000000","00000008000000",NA,"170000000",1.49e+08
20006016640,"01",1,6112,"01240",4,1,9,7,"00000005000000","00000017000000",NA,"00000010000000",NA,"90000000",5.8e+07
20012021726,"01",1,6121,"01440",5,1,1,7,NA,"00000120200000","00000003500000",NA,NA,"202000000",78300000
20006016637,"01",1,6121,"01440",5,1,8,7,NA,"00000060000000",NA,NA,NA,"170000000",1.1e+08
20012021734,"01",1,6112,"01240",4,1,4,6,"00000020000000","00000030000000",NA,"00000004000000",NA,"84000000",3e+07
20012021734,"01",1,6111,"01110",4,1,4,7,"00000010000000","00000077000000","00000030000000","00000007000000",NA,"194000000",7e+07
20006015834,"01",1,8322,"49230",5,2,10,7,NA,"00000030000000","00000010000000",NA,NA,"88000000",4.8e+07
20005015334,"01",1,6112,"01240",4,1,5,4,"00000005000000","00000020000000",NA,"00000010000000",NA,"80000000",4.5e+07
20005015333,"01",1,6112,"01240",4,1,8,5,"00000020000000","00000006000000",NA,"00000010000000",NA,"100000000",6.4e+07
20001010134,"01",1,6121,"01440",5,1,7,7,NA,"00000060000000",NA,NA,NA,"190000000",1.3e+08
20001010125,"01",1,8322,"49220",5,2,9,6,NA,"00000040000000","00000020000000",NA,NA,"120000000",6e+07
20011020837,"01",1,6111,"01110",4,1,4,6,NA,"00000006200000",NA,"00000028500000",NA,"197000000",162300000
20012022531,"01",1,6111,"01110",5,1,5,7,NA,"00000004500000",NA,"00000007500000",NA,"25000000",1.3e+07
20012022531,"01",1,6112,"01240",5,1,4,7,NA,"00000018000000",NA,"00000004000000",NA,"70000000",4.8e+07
20012022531,"01",1,6121,"01440",4,1,3,7,"00000015000000","00000010000000",NA,NA,NA,"30000000",5e+06
20012022528,"01",1,6112,"01240",5,1,7,7,"00000004200000","00000003500000",NA,NA,NA,"50000000",42300000
20001010534,"01",1,6111,"01110",5,1,5,7,"00000004000000","00000030200000","00000005000000","00000007000000",NA,"68000000",21800000
20007018325,"01",1,6111,"01110",5,1,7,7,"00000006000000","00000023000000",NA,"00000019000000",NA,"130000000",8.2e+07
20007018325,"01",1,6121,"01440",5,1,3,7,NA,"00000030000000",NA,NA,NA,"100000000",7e+07
20007018334,"01",1,5224,"47212",5,2,9,6,NA,"00000060000000",NA,"00000010000000",NA,"190000000",1.2e+08
20012022934,"01",1,6111,"01110",4,1,8,5,NA,"00000041800000","00000001000000","00000037500000",NA,"123000000",42700000
20012022934,"02",1,6121,"01440",6,1,1,7,NA,NA,NA,NA,NA,NA,0
20012022934,"01",1,6121,"01440",5,1,2,7,NA,"00000030500000","00000003000000",NA,NA,"65000000",31500000
20007018329,"01",1,6111,"01110",5,1,8,7,"00000003000000","00000016000000",NA,"00000013000000",NA,"65000000",3.3e+07
20001011837,"01",1,6111,"01110",5,1,9,7,"00000002000000","00000010000000",NA,"00000017000000",NA,"150000000",1.21e+08
20013024129,"01",1,6121,"01440",5,1,4,7,NA,"00000070000000",NA,"00000002000000",NA,"140600000",68600000
20006017035,"01",1,6121,"01440",5,1,7,7,"00000001000000","00000032500000",NA,NA,NA,"85500000",5.2e+07
20001010537,"01",1,8322,"49230",5,2,8,4,NA,"00000090000000","00000020000000","00000015000000","00000002000000","259000000",1.32e+08
20007018337,"01",1,6111,"01110",5,1,8,7,"00000002500000","00000020000000",NA,"00000016500000",NA,"100000000",6.1e+07
20007018340,"01",1,6112,"01240",5,1,7,7,"00000004000000","00000007000000",NA,"00000003000000",NA,"50000000",3.6e+07
20012022932,"01",1,6111,"01110",4,1,7,5,NA,"00000040000000","00000001000000","00000052000000",NA,"134000000",4.1e+07
20012022932,"01",1,6112,"01240",5,1,5,4,NA,"00000006500000",NA,NA,NA,"17000000",10500000
20011020829,"01",1,6111,"01110",5,1,7,7,NA,"00000009500000",NA,"00000026000000",NA,"100000000",64500000
20011020829,"03",1,6111,"01110",6,1,5,5,NA,NA,NA,NA,NA,NA,0
20013024134,"01",2,6121,"01440",5,1,NA,NA,NA,"00000040000000","00000004000000",NA,NA,"200000000",1.56e+08
20013024134,"01",1,5224,"47211",5,2,10,6,NA,"00000367800000","00000015000000","00000003000000",NA,"475800000",9e+07
20001010534,"01",1,6121,"01440",5,1,4,7,NA,"00000054600000",NA,NA,NA,"97000000",42400000
20001010534,"02",1,6121,"01440",6,1,5,7,NA,NA,NA,NA,NA,NA,0
20013024140,"01",1,6121,"01440",5,1,5,7,NA,"00000030000000","00000000120000",NA,NA,"90000000",59880000
20011020832,"01",1,6121,"01440",4,1,5,4,"00000008000000","00000050000000","00000003000000",NA,NA,"92000000",3.1e+07
20011020832,"01",1,6111,"01110",5,1,6,7,NA,"00000009000000",NA,"00000020000000",NA,"80000000",5.1e+07
