"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
20001010834,"01",NA,NA,NA,"0006000000",NA,"0054000000"
20007018727,"01",NA,NA,NA,NA,NA,"0003600000"
20002012227,"01",NA,NA,NA,"0007500000",NA,"0010000000"
20001010530,"01",NA,NA,NA,"0010000000",NA,NA
20002012240,"01",NA,"0035000000",NA,"0008000000",NA,"0025000000"
20004014732,"05",NA,NA,NA,"0002000000",NA,NA
20006015537,"04",NA,NA,NA,"0050000000",NA,NA
20007017434,"01",NA,"0006000000",NA,NA,NA,"0010000000"
20004013429,"01",NA,NA,NA,"0006800000",NA,NA
20004013432,"01",NA,"0006000000",NA,"0007000000",NA,"0010000000"
20010020337,"01","0307000000",NA,NA,NA,NA,NA
20004014329,"01",NA,NA,NA,"0027000000",NA,NA
20105036337,"01",NA,NA,NA,NA,"0005000000","0030000000"
20101033940,"04",NA,NA,NA,NA,NA,"0001200000"
20101033940,"05",NA,NA,NA,NA,NA,"0000750000"
20110041237,"01",NA,NA,NA,NA,NA,"0010000000"
20101033934,"03",NA,NA,NA,NA,NA,"0001500000"
20102034337,"01",NA,"0060000000",NA,"0009500000",NA,"0005000000"
20105036340,"01","0015600000",NA,NA,NA,NA,NA
20105036340,"02",NA,NA,NA,NA,NA,"0000800000"
20110040637,"01",NA,NA,NA,NA,"0007000000",NA
20106037937,"01",NA,NA,NA,"0012000000",NA,NA
20112042432,"01",NA,"0090000000",NA,NA,NA,NA
20109039932,"01","0121700000",NA,NA,NA,NA,NA
20106037925,"01",NA,NA,NA,"0007500000",NA,NA
20103035135,"01",NA,"0018000000",NA,"0007800000",NA,NA
20109040332,"01",NA,NA,NA,"0008100000",NA,NA
20109040325,"01",NA,NA,NA,NA,NA,"0020000000"
20109040334,"01",NA,"0010000000",NA,"0008700000",NA,"0002000000"
20105036737,"01","0115720000","0035000000",NA,NA,NA,NA
20115044032,"01",NA,"0010000000",NA,"0010800000",NA,"0003000000"
20107038731,"01",NA,"0030000000",NA,NA,"0013000000","0030000000"
20107038731,"02",NA,NA,NA,NA,NA,"0003000000"
20111042040,"01",NA,NA,NA,"0010000000",NA,"0015000000"
20111042040,"02",NA,NA,NA,"0008500000",NA,NA
20111042037,"01",NA,NA,NA,"0011000000",NA,"0015000000"
20115044034,"01",NA,NA,NA,"0010800000",NA,NA
20101033937,"05",NA,NA,NA,"0008000000",NA,NA
20105037129,"01",NA,"0048000000",NA,"0012500000",NA,NA
20110041225,"01",NA,NA,NA,"0007200000",NA,NA
20108039125,"01",NA,NA,NA,NA,"0010000000",NA
20105036329,"03",NA,NA,NA,NA,NA,"0001500000"
20105036329,"04",NA,NA,NA,NA,NA,"0001500000"
20101033926,"03",NA,NA,NA,NA,NA,"0001200000"
20101033926,"04",NA,NA,NA,NA,NA,"0001200000"
20108039137,"01","0115720000",NA,NA,NA,NA,NA
20111041640,"01",NA,"0044000000",NA,"0009700000",NA,NA
20102034340,"01",NA,NA,NA,"0009500000",NA,NA
20102034332,"01",NA,NA,NA,"0008900000",NA,"0008000000"
20105037132,"01","0145800000","0033000000",NA,NA,NA,NA
20114043631,"01","0006000000",NA,NA,"0003000000",NA,NA
20114043631,"02",NA,NA,NA,"0003000000",NA,NA
20102034329,"01","0199720000",NA,NA,NA,NA,NA
20111041634,"01",NA,NA,NA,NA,NA,"0010000000"
20112042429,"01",NA,"0063000000",NA,NA,NA,"0005000000"
20109039934,"01",NA,"0012000000",NA,"0007600000",NA,NA
20105037532,"01",NA,"0009500000",NA,"0011590000",NA,NA
20110040640,"01",NA,NA,NA,"0006000000",NA,"0010000000"
20110040634,"01",NA,"0060000000",NA,"0008700000",NA,NA
20102034730,"01","0123620000","0024000000",NA,NA,NA,NA
20102034732,"01",NA,NA,NA,NA,NA,"0030000000"
20105037125,"03",NA,NA,NA,NA,NA,"0001500000"
20105037125,"04",NA,NA,NA,NA,NA,"0001500000"
20105037134,"01",NA,"0048000000",NA,"0008100000",NA,NA
20113042826,"01",NA,"0052000000",NA,NA,NA,"0015000000"
20108039129,"01",NA,NA,NA,"0008500000",NA,NA
20109039929,"03",NA,NA,NA,NA,NA,"0001000000"
20109039929,"04",NA,NA,NA,NA,NA,"0001000000"
20109039929,"05",NA,NA,NA,NA,NA,"0001000000"
20113042834,"01",NA,"0018000000",NA,NA,NA,"0150000000"
20112042440,"03",NA,NA,NA,NA,NA,"0001000000"
20112042437,"03",NA,NA,NA,NA,NA,"0001000000"
20110040632,"03",NA,NA,NA,NA,NA,"0000500000"
20110040632,"04",NA,NA,NA,NA,NA,"0000500000"
20113042835,"03",NA,NA,NA,NA,NA,"0001300000"
20105037537,"01",NA,"0021600000",NA,NA,NA,NA
20105037537,"03",NA,NA,NA,NA,NA,"0001000000"
20105037537,"04",NA,NA,NA,NA,NA,"0001200000"
20104035937,"01",NA,NA,NA,"0010500000",NA,"0015000000"
20110040840,"01",NA,NA,NA,NA,NA,"0012000000"
20113043232,"01",NA,NA,NA,"0007200000",NA,"0006000000"
20107038332,"01",NA,"0048000000",NA,"0012500000",NA,NA
20116044525,"01",NA,"0010000000",NA,"0008100000",NA,"0008000000"
20104035932,"01",NA,NA,NA,NA,NA,"0008500000"
20104035932,"02",NA,NA,NA,NA,NA,"0001500000"
20107038337,"01",NA,NA,NA,"0008100000",NA,NA
20104035940,"01",NA,NA,NA,NA,NA,"0015000000"
20113043240,"01",NA,NA,NA,"0018500000",NA,NA
20113043240,"03",NA,NA,NA,"0009500000",NA,NA
20116044529,"01",NA,"0082500000",NA,"0007650000",NA,NA
20116044534,"06",NA,NA,NA,NA,NA,"0001000000"
20104035926,"01","0097720000",NA,NA,NA,"0004000000",NA
20104035934,"01","0391800000","0024000000",NA,NA,NA,NA
20110040834,"01",NA,"0007200000",NA,NA,"0030000000",NA
20110040834,"05",NA,NA,NA,NA,NA,"0000300000"
20113043225,"01","0102420000",NA,NA,NA,NA,NA
20107038334,"01",NA,NA,NA,NA,"0006000000",NA
20107038334,"03",NA,NA,NA,NA,NA,"0002000000"
20107038340,"01",NA,"0030000000",NA,"0008000000",NA,"0003000000"
20110040825,"01","0193800000",NA,NA,NA,NA,NA
20110040829,"02",NA,NA,NA,NA,NA,"0001000000"
20110040829,"04",NA,NA,NA,NA,NA,"0001000000"
20110040832,"04",NA,NA,NA,NA,NA,"0000500000"
20110040837,"01",NA,NA,NA,NA,NA,"0001000000"
20113043229,"03",NA,NA,NA,NA,NA,"0004000000"
20113043234,"01",NA,NA,NA,NA,"0015000000",NA
20116044540,"01",NA,NA,NA,"0199700000",NA,NA
20116044537,"03",NA,NA,NA,NA,NA,"0001200000"
20116044537,"04",NA,NA,NA,NA,NA,"0001200000"
20107038329,"01",NA,NA,NA,"0009000000",NA,NA
20101033929,"03",NA,NA,NA,NA,NA,"0000850000"
20102034325,"01","0103720000","0120000000",NA,NA,NA,NA
20102034334,"02",NA,NA,NA,NA,"0003000000",NA
20102034737,"01","0108500000",NA,NA,NA,NA,NA
20102034737,"02",NA,NA,NA,"0006800000",NA,NA
20102034740,"01",NA,NA,NA,NA,"0005000000",NA
20103035132,"02",NA,NA,NA,NA,NA,"0002000000"
20103035132,"03",NA,NA,NA,NA,NA,"0001500000"
20103035137,"04",NA,NA,NA,NA,NA,"0001100000"
20103035140,"01","0039000000","0099000000",NA,NA,NA,NA
20104035529,"01",NA,NA,NA,"0008400000",NA,"0036000000"
20104035529,"02",NA,NA,NA,NA,NA,"0001000000"
20104035529,"03",NA,NA,NA,NA,NA,"0000800000"
20104035532,"03",NA,NA,NA,NA,NA,"0002000000"
20104035532,"04",NA,NA,NA,NA,NA,"0002000000"
20104035537,"01",NA,NA,NA,"0009200000","0007000000",NA
20104035537,"05",NA,NA,NA,NA,NA,"0015000000"
20104035540,"01",NA,NA,NA,"0007200000",NA,"0005000000"
20105036330,"03",NA,NA,NA,NA,NA,"0001000000"
20105036330,"04",NA,NA,NA,NA,NA,"0000800000"
20105036333,"01",NA,NA,NA,NA,"0030000000",NA
20105036733,"01",NA,"0035000000",NA,NA,NA,"0045000000"
20105037137,"03",NA,NA,NA,NA,NA,"0000500000"
20105037534,"03",NA,NA,NA,NA,NA,"0010000000"
20105037534,"04",NA,NA,NA,NA,NA,"0000850000"
20105037534,"05",NA,NA,NA,NA,NA,"0000700000"
20105037540,"04",NA,NA,NA,NA,NA,"0002000000"
20106037931,"03",NA,NA,NA,NA,NA,"0000950000"
20106037931,"04",NA,NA,NA,NA,NA,"0000800000"
20106037934,"01",NA,"0075000000",NA,NA,NA,NA
20106037934,"03",NA,NA,NA,NA,NA,"0001000000"
20106037934,"04",NA,NA,NA,NA,NA,"0001000000"
20106037940,"01",NA,NA,NA,"0004500000",NA,"0002000000"
20107038729,"01",NA,NA,NA,NA,NA,"0020000000"
20107038734,"03",NA,NA,NA,NA,NA,"0001100000"
20107038734,"04",NA,NA,NA,NA,NA,"0000900000"
20107038740,"01","0199700000",NA,NA,NA,NA,NA
20108039132,"01",NA,NA,NA,NA,NA,"0001500000"
