"Address","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
10109030741,"03",NA,NA,NA,NA,NA,"0000700000"
10109030741,"04",NA,NA,NA,NA,NA,"0002500000"
10107029532,"01","0211800000",NA,NA,NA,NA,NA
10107029535,"01",NA,NA,NA,NA,NA,"0010000000"
10105027135,"01","0151720000",NA,NA,NA,NA,NA
10101024741,"01",NA,NA,NA,"0007200000",NA,NA
10111031941,"01","0187720000",NA,NA,NA,NA,NA
10101024738,"01",NA,NA,NA,"0009000000",NA,NA
10107029529,"01","0283720000",NA,NA,NA,NA,NA
10107029529,"02","0247720000",NA,NA,NA,NA,NA
10106029141,"01","0223700000",NA,NA,NA,NA,NA
10101024332,"01",NA,NA,NA,NA,NA,"0001500000"
10105027126,"01","0235700000",NA,NA,NA,NA,NA
10105027126,"03",NA,NA,NA,NA,NA,"0001000000"
10105027132,"01","0307720000",NA,NA,NA,NA,NA
10105027132,"02","0139720000",NA,NA,NA,NA,NA
10106029125,"01",NA,NA,NA,NA,NA,"0001500000"
10106029127,"01","0145700000",NA,NA,NA,NA,NA
10107029541,"01",NA,NA,NA,"0009500000",NA,NA
10112032332,"01",NA,NA,NA,"0009000000",NA,"0080000000"
10112032332,"02",NA,NA,NA,NA,NA,"0028000000"
10112032332,"03",NA,NA,NA,NA,NA,"0004000000"
10112032336,"01",NA,NA,NA,"0009500000",NA,"0038000000"
10111031931,"03",NA,NA,NA,NA,NA,"0001800000"
10111031931,"04",NA,NA,NA,NA,NA,"0001500000"
10104026726,"01",NA,NA,NA,NA,NA,"0025000000"
10104026726,"05",NA,NA,NA,"0007200000",NA,NA
10101024341,"01",NA,NA,NA,NA,NA,"0040000000"
10101024341,"03",NA,NA,NA,NA,NA,"0001500000"
10101024341,"04",NA,NA,NA,NA,NA,"0001200000"
10101024727,"03",NA,NA,NA,NA,NA,"0001500000"
10104026732,"03",NA,NA,NA,NA,NA,"0000750000"
10104026732,"04",NA,NA,NA,NA,NA,"0000900000"
10105027141,"03",NA,NA,NA,NA,NA,"0002000000"
10102025141,"01","0117720000",NA,NA,NA,NA,NA
10101024335,"02",NA,"0038400000",NA,"0004000000",NA,"0004000000"
10105027138,"01","0223800000",NA,NA,NA,NA,NA
10111031930,"02",NA,NA,NA,"0008000000",NA,NA
10107029538,"01","0031700000",NA,NA,NA,NA,"0200000000"
10113032734,"01",NA,NA,NA,NA,NA,"0035000000"
10113032732,"01",NA,NA,"0009000000",NA,NA,"0065000000"
10105027925,"01",NA,NA,NA,"0006500000",NA,NA
10103025536,"01",NA,"0032000000",NA,"0009500000",NA,"0015000000"
10101024735,"04",NA,NA,NA,NA,NA,"0001000000"
10105027536,"03",NA,NA,NA,NA,NA,"0003500000"
10105027538,"02",NA,NA,NA,NA,NA,"0004000000"
10105027541,"01","0128720000",NA,NA,NA,NA,NA
10107029929,"03",NA,NA,NA,NA,NA,"0002000000"
10107029929,"04",NA,NA,NA,NA,NA,"0001000000"
10107029932,"03",NA,NA,NA,NA,NA,"0000500000"
10107029938,"01","0153700000",NA,NA,NA,NA,NA
10112032338,"03",NA,NA,NA,NA,NA,"0001500000"
10103025526,"03",NA,NA,NA,NA,NA,"0001500000"
10103025526,"04",NA,NA,NA,NA,NA,"0001300000"
10103025938,"01",NA,NA,NA,"0009500000",NA,NA
10103025538,"01","0205720000",NA,NA,NA,NA,NA
10103025538,"02","0211720000","0030000000",NA,NA,NA,NA
10115033136,"01","0127720000",NA,NA,NA,NA,NA
10115033136,"02",NA,NA,NA,NA,NA,"0000500000"
10104026738,"01",NA,"0005000000",NA,NA,NA,NA
10105028341,"01","0139720000",NA,NA,"0108000000",NA,NA
10103025529,"01",NA,NA,NA,NA,NA,"0048000000"
10104026729,"03",NA,NA,NA,NA,NA,"0001000000"
10104026729,"04",NA,NA,NA,NA,NA,"0001000000"
10104026729,"05",NA,NA,NA,NA,NA,"0001000000"
10104026729,"06",NA,NA,NA,NA,NA,"0001500000"
10105028338,"01","0036500000",NA,NA,NA,NA,NA
10115033130,"01",NA,"0060000000",NA,NA,NA,NA
10109030734,"03",NA,NA,NA,NA,NA,"0001200000"
10109030734,"04",NA,NA,NA,NA,NA,"0001200000"
10115033127,"03",NA,NA,NA,NA,NA,"0001800000"
10104026735,"01",NA,NA,NA,"0009600000",NA,"0015000000"
10104026735,"04",NA,NA,NA,NA,NA,"0000900000"
10104026735,"06",NA,NA,NA,NA,NA,"0001000000"
10109030728,"03",NA,NA,NA,NA,NA,"0000500000"
10109030728,"04",NA,NA,NA,NA,NA,"0000300000"
10109030732,"03",NA,NA,NA,NA,NA,"0001500000"
10109030732,"04",NA,NA,NA,NA,NA,"0001500000"
10104026326,"01","0190720000",NA,NA,NA,NA,NA
10116033530,"01",NA,NA,NA,"0011800000",NA,"0038000000"
10105028727,"01",NA,"0042000000",NA,NA,NA,NA
10105028729,"02",NA,NA,NA,NA,NA,"0005000000"
10105028729,"03",NA,NA,NA,NA,NA,"0002000000"
10105028729,"04",NA,NA,NA,NA,NA,"0002000000"
10116033541,"01",NA,"0039600000",NA,NA,NA,NA
10116033541,"03",NA,NA,NA,NA,NA,"0000500000"
10116033541,"04",NA,NA,NA,NA,NA,"0000600000"
10116033528,"03",NA,NA,NA,NA,NA,"0002500000"
10116033528,"04",NA,NA,NA,NA,NA,"0002500000"
10105028738,"03",NA,NA,NA,NA,NA,"0002000000"
10104026332,"01",NA,NA,NA,NA,NA,"0012000000"
10104026332,"02",NA,NA,NA,NA,NA,"0015000000"
10104026331,"03",NA,NA,NA,NA,NA,"0002000000"
10104026331,"04",NA,NA,NA,NA,NA,"0002000000"
10104026328,"01","0189720000",NA,NA,NA,NA,"0020000000"
10105028735,"01",NA,NA,NA,NA,NA,"0008000000"
10105028735,"02",NA,NA,NA,NA,"0001500000",NA
10110031132,"01",NA,NA,NA,NA,NA,"0045000000"
10105028741,"03",NA,NA,NA,NA,NA,"0002000000"
10105028741,"04",NA,NA,NA,NA,NA,"0002000000"
10104026338,"01","0175800000",NA,NA,NA,NA,NA
10110031126,"01","0116720000",NA,NA,NA,NA,NA
