"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10010008520,"02","دفتر دار",1,2,NA,1,NA,1,NA,NA,NA,"000004","21",5,220,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009320,"04","فروشنده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,251,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10011009316,"04","مکانيک",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,178,1,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10011009308,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"000001","11",5,203,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10012009712,"02","باغدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,223,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10007007320,"02","تعميرات نفت",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,251,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10012009713,"02","چوپان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,72,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10012009708,"02","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,288,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10012009723,"02","کشاورز",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,296,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10012009716,"02","کارگر کشاورزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,61,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001001320,"02","راننده",1,2,NA,2,NA,1,NA,NA,NA,"000005","22",4,221,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
