"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari","Bakhsh","ShrDeh","Hozeh","BlkAbd","AbdName"
10001000913,"04","كارگر",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,265,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001002129,"04","كارگر",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,54,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002116,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,339,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002126,"04","كارگر",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,241,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006923,"04","كارگر ساختمان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,66,0,"Admin","Admin","Admin","Admin",NA,NA,NA,NA,NA,NA
10001002118,"04","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,85,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006920,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"00008",24,4,212,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006926,"04","راننده",1,2,NA,1,NA,1,NA,NA,NA,"00011",27,4,254,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10007006918,"04","فروشنده",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,52,0,"Admin",NA,"Admin",NA,1,NA,NA,NA,NA,NA
10007006929,"04","مدير آزانس",1,2,NA,1,NA,1,NA,NA,NA,"000011",30,4,185,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10003003323,"04","اداره پست",1,2,NA,1,NA,1,NA,NA,NA,"000015",19,4,80,0,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000926,"04","بازنشسته",1,2,NA,1,NA,1,NA,NA,NA,"000011",30,5,278,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001000923,"04","تعمير کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,218,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000929,"04","کارمند",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,215,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001002123,"04","درامد بدون کار",1,2,NA,1,NA,1,NA,NA,NA,"00003",22,5,351,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10001002119,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,443,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009313,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,300,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009323,"04","درامد بدون کار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,196,1,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10011009326,"04","زارع",1,2,NA,1,NA,1,NA,NA,NA,"00004",28,5,84,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009008120,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,179,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10001000916,"04","كارمن منابع طبيعي",1,2,NA,1,NA,1,NA,NA,NA,"00004",14,4,252,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
10009008116,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin",NA,NA,NA,NA,NA,NA
10009008126,"04","راننده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,316,1,"Admin",NA,"Admin",NA,NA,NA,NA,NA,NA,NA
