"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270125002,"3",NA,NA,"راننده تاکسي",1,1,NA,2,NA,NA,NA,4,854,0,"Admin",NA,"Admin",NA
1270145002,"02",NA,NA,"زراعتکار شالي",1,1,NA,2,NA,NA,NA,3,1004,0,"admin",NA,"Admin",NA
1270013005,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,415,0,"Admin",NA,"Admin",NA
1270053003,"02",NA,NA,"پمپچي بنزين",1,1,NA,2,NA,NA,NA,3,852,0,"Admin",NA,"Admin",NA
1270053002,"02",NA,NA,"دبير دبيرستان",1,1,NA,2,NA,NA,NA,3,838,0,"Admin",NA,"Admin",NA
1270053001,"02",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,803,0,"Admin",NA,"Admin",NA
1270089004,"02",NA,NA,"بازنشسته شرکت پنبه",1,1,NA,2,NA,NA,NA,4,793,0,"Admin",NA,"Admin",NA
1270145005,"02",NA,NA,"راننده اتومبيل",1,1,NA,2,NA,NA,NA,3,941,0,"Admin",NA,"Admin",NA
1270125004,"03",NA,NA,"فروشگاه لوازم خانگي",1,1,NA,2,NA,NA,NA,4,1055,0,"Admin",NA,"Admin",NA
1270017004,"02",NA,NA,"راننده کاميون",1,1,NA,2,NA,NA,NA,3,565,0,"Admin",NA,"Admin",NA
1270053005,"02",NA,NA,"کارگر ساده گل فروشي",1,1,NA,2,NA,NA,NA,3,623,0,"Admin",NA,"Admin",NA
1270021001,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,634,2,"Admin",NA,"Admin",NA
1270021002,"04",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,343,1,"Admin",NA,"Admin",NA
1270021003,"04",NA,NA,"راننده خاور",1,1,NA,2,NA,NA,NA,3,418,0,"Admin",NA,"Admin",NA
1270021004,"04",NA,NA,"دفتردار شرکت خاورداران",1,1,NA,2,NA,NA,NA,3,831,0,"Admin",NA,"Admin",NA
1270021005,"04",NA,NA,"کارمند",1,1,NA,2,NA,NA,NA,3,662,0,"Admin",NA,"Admin",NA
1270105001,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,642,0,"Admin",NA,"Admin",NA
1270105004,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,451,0,"Admin",NA,"Admin",NA
1270105002,"03",NA,NA,"کارگر ساده شمالي",1,1,NA,2,NA,NA,NA,4,636,0,"Admin",NA,"Admin",NA
1270105003,"03",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,109,0,"Admin",NA,"Admin",NA
1270105005,"03",NA,NA,"فروشنده لوازم کادوئي",1,1,NA,1,"خانوار اصلي مستاجر بوده و از مکان کوچ کرده است","000004","007",4,995,2,"Admin",NA,"Admin",NA
1270129004,"04",NA,NA,"نقاش ساختمان",1,1,NA,1,"مکان اقامت خانوار اصلي خالي از سکنه است","000013","007",3,627,0,"Admin",NA,"Admin",NA
1270129002,"04",NA,NA,"راننده سواري",1,1,NA,2,NA,NA,NA,4,747,0,"Admin",NA,"Admin",NA
