"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
1000061003,"022111",1,NA,"00600","0000000150","0000090000"
1000037005,"022112",1,NA,"00600","0000000125","0000075000"
1000097002,"022111",1,NA,"01200","0000000150","0000180000"
1000001004,"022111",1,NA,"00600","0000000700","0000420000"
1000061001,"022112",7,NA,"00600","0000000250","0000150000"
1000021002,"022113",1,NA,"00150","0000000400","0000060000"
1000069001,"022113",1,NA,"00100","0000000300","0000030000"
1000093003,"022113",1,NA,"01200","0000000550","0000660000"
1000021005,"022112",1,NA,"00500","0000000300","0000150000"
1000077004,"022111",1,NA,"00800","0000000200","0000160000"
1000081002,"022111",1,NA,"00800","0000000100","0000008000"
1000085004,"022112",1,NA,"00400","0000000275","0000110000"
1000113002,"022111",1,NA,"00600","0000000200","0000120000"
1000085005,"022112",1,NA,"00800","0000000275","0000220000"
1000029005,"022112",1,NA,"00080","0000000500","0000040000"
1000041003,"022111",1,NA,"00600","0000000250","0000150000"
1000053001,"022111",1,NA,"00600","0000000175","0000105000"
1000053002,"022111",1,NA,"00090","0000000200","0000018000"
1000053003,"022113",1,NA,"01200","0000000250","0000300000"
1000001001,"022112",1,NA,"00733","0000000225","0000165000"
1000013005,"022111",1,NA,"00240","0000000350","0000084000"
1000005002,"022113",1,NA,"00300","0000000600","0000180000"
1000013001,"022113",1,NA,"00080","0000000500","0000040000"
1000017001,"022111",1,NA,"00300","0000000200","0000060000"
1000017001,"022113",1,NA,"00050","0000000600","0000030000"
1000101005,"022111",1,NA,"00300","0000000200","0000060000"
1000045002,"022113",1,NA,"00120","0000000500","0000060000"
1000137002,"022113",1,NA,"00300","0000000300","0000090000"
1000109003,"022113",1,NA,"00300","0000000650","0000195000"
1000021001,"022113",1,NA,"00131","0000000550","0000072000"
1000109001,"022111",1,NA,"00300","0000000150","0000045000"
1000049003,"022112",1,NA,"00400","0000000150","0000060000"
1000049002,"022111",1,NA,"00150","0000000200","0000030000"
1000029001,"022111",1,NA,"00600","0000000150","0000090000"
1000025003,"022112",1,NA,"00600","0000000250","0000150000"
1000009002,"022111",1,NA,"01000","0000000150","0000150000"
