"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
20001383902,"05",2,172,1,2,NA,1,NA,1,NA,NA,NA,"000031","01"
20001383905,"05",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001383908,"05",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001383911,"05",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001383914,"05",2,172,1,2,NA,1,NA,1,NA,NA,NA,"000034","16"
20001383917,"05",2,172,1,2,NA,1,NA,1,NA,NA,NA,"000033","15"
20001384002,"08",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384005,"08",3,172,1,2,NA,1,NA,1,NA,NA,NA,"005308","06"
20001384008,"08",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384011,"08",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384014,"08",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384017,"08",3,172,1,2,NA,1,NA,1,NA,NA,NA,"005308","15"
20001384102,"11",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384105,"11",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384108,"11",4,172,1,2,NA,1,NA,1,NA,NA,NA,"000064","09"
20001384111,"11",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384114,"11",4,172,1,2,NA,1,NA,1,NA,NA,NA,"000064","13"
20001384117,"11",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384202,"02",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384205,"02",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384208,"02",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384211,"02",1,172,1,2,NA,1,NA,1,NA,NA,NA,"000010","07"
20001384214,"02",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384217,"02",1,172,1,2,NA,1,NA,1,NA,NA,NA,"000011","15"
20001384302,"06",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384305,"06",2,172,1,2,NA,1,NA,1,NA,NA,NA,"000003","01"
20001384308,"06",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384311,"06",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384314,"06",2,172,1,2,NA,1,NA,1,NA,NA,NA,"000012","16"
20001384317,"06",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384402,"09",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384405,"09",3,172,1,2,NA,1,NA,1,NA,NA,NA,"000001","01"
20001384408,"09",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384411,"09",3,172,1,2,NA,1,NA,1,NA,NA,NA,"000005","10"
20001384414,"09",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384417,"09",3,172,1,2,NA,1,NA,1,NA,NA,NA,"000008","13"
20001384502,"12",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384505,"12",4,172,1,2,NA,1,NA,1,NA,NA,NA,"000003","01"
20001384508,"12",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384511,"12",4,172,1,2,NA,1,NA,1,NA,NA,NA,"000003","07"
20001384514,"12",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384517,"12",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384602,"03",1,172,1,2,NA,1,NA,1,NA,NA,NA,"005337","06"
20001384605,"03",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384608,"03",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384611,"03",1,172,1,2,NA,1,NA,1,NA,NA,NA,"005337","09"
20001384614,"03",1,172,1,2,NA,1,NA,1,NA,NA,NA,"005337","16"
20001384617,"03",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384702,"07",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384705,"07",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384708,"07",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384711,"07",2,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384714,"07",2,172,1,2,NA,1,NA,1,NA,NA,NA,"005180","18"
20001384717,"07",2,172,1,2,NA,1,NA,1,NA,NA,NA,"005180","16"
20001384802,"10",3,172,1,2,NA,1,NA,1,NA,NA,NA,"000042","01"
20001384805,"10",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384808,"10",3,172,1,2,NA,1,NA,1,NA,NA,NA,"000042","09"
20001384811,"10",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384814,"10",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384817,"10",3,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384902,"01",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384905,"01",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384908,"01",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384911,"01",4,172,1,2,NA,1,NA,1,NA,NA,NA,"000035","09"
20001384914,"01",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001384917,"01",4,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20001385002,"04",1,172,1,2,NA,1,NA,1,NA,NA,NA,"000260","06"
20001385005,"04",1,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
