"Address","MahMorajeh","Fasl","weight","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin"
10001000102,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000105,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000108,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000111,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000114,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000117,"11",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000202,"02",1,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000205,"02",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000004","04"
10001000208,"02",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000004","09"
10001000211,"02",1,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000214,"02",1,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000217,"02",1,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000302,"05",2,1176,1,2,NA,1,NA,1,NA,NA,NA,"000002","04"
10001000305,"05",2,1176,1,2,NA,1,NA,1,NA,NA,NA,"000003","06"
10001000308,"05",2,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000311,"05",2,1176,1,2,NA,1,NA,1,NA,NA,NA,"000004","09"
10001000314,"05",2,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000317,"05",2,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000402,"08",3,1176,1,2,NA,1,NA,1,NA,NA,NA,"000001","01"
10001000405,"08",3,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000408,"08",3,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000411,"08",3,1176,1,2,NA,1,NA,1,NA,NA,NA,"000002","07"
10001000414,"08",3,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000417,"08",3,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000502,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000505,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000508,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000511,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000514,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000517,"12",4,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000602,"03",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000002","03"
10001000605,"03",1,1176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001000608,"03",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000003","09"
10001000611,"03",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000003","12"
10001000614,"03",1,1176,1,2,NA,1,NA,1,NA,NA,NA,"000004","15"
