"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1000145005,"2",NA,NA,"خرازي",1,1,NA,2,NA,NA,NA,5,724,7,"Admin",NA,"Admin","Admin"
1000145001,"2",NA,NA,"راننده",1,1,NA,2,NA,NA,NA,5,626,8,"Admin",NA,"Admin","Admin"
1000145002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,388,8,"Admin",NA,"Admin","Admin"
1000145003,"2",NA,NA,"كشاورز",1,1,NA,2,NA,NA,NA,4,671,9,"Admin",NA,"Admin","Admin"
1000145004,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,366,7,"Admin",NA,"Admin","Admin"
1000097004,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,806,9,"Admin",NA,"Admin","Admin"
1000097001,"2",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,739,10,"Admin",NA,"Admin","Admin"
1000097003,"2",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,595,2,"Admin",NA,"Admin","Admin"
1000097002,"02",NA,NA,"اموزكار",1,1,NA,2,NA,NA,NA,5,604,7,"Admin",NA,"Admin","Admin"
1000097005,"02",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,810,9,"Admin",NA,"Admin","Admin"
1000037001,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,496,8,"Admin",NA,"Admin","Admin"
1000037003,"2",NA,NA,"ارايشگر",1,1,NA,2,NA,NA,NA,5,315,8,"Admin",NA,"Admin","Admin"
1000037002,"02",NA,NA,"بيكار",1,1,NA,2,NA,NA,NA,5,233,7,"Admin",NA,"Admin","Admin"
1000037004,"2",NA,NA,"كشاورز",1,1,NA,2,NA,NA,NA,5,1045,16,"Admin",NA,"Admin","Admin"
1000037005,"02",NA,NA,"اشپز",1,1,NA,2,NA,NA,NA,5,573,9,"Admin",NA,"Admin","Admin"
1000049001,"02",NA,NA,"دبير",1,1,NA,2,NA,NA,NA,4,546,8,"Admin",NA,"Admin","Admin"
1000049002,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,599,7,"Admin",NA,"Admin","Admin"
1000049003,"2",NA,NA,"حسابدار",1,1,NA,2,NA,NA,NA,5,523,12,"Admin",NA,"Admin","Admin"
1000049005,"2",NA,NA,"بنا",1,1,NA,2,NA,NA,NA,5,774,10,"Admin",NA,"Admin","Admin"
1000049004,"02",NA,NA,"دبير",1,1,NA,2,NA,NA,NA,5,723,10,"Admin",NA,"Admin","Admin"
1000073005,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,267,5,"Admin",NA,"Admin","Admin"
1000073001,"2",NA,NA,"جوياي كار",1,1,NA,2,NA,NA,NA,5,413,1,"Admin",NA,"Admin","Admin"
1000073002,"2",NA,NA,"سبزي كار",1,1,NA,2,NA,NA,NA,4,649,38,"Admin",NA,"Admin","Admin"
1000073003,"02",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,633,7,"Admin",NA,"Admin","Admin"
1000073004,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,569,7,"Admin",NA,"Admin","Admin"
1000133001,"02",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,731,18,"Admin",NA,"Admin","Admin"
1000133003,"2",NA,NA,"راننده",1,1,NA,2,NA,NA,NA,5,354,8,"Admin",NA,"Admin","Admin"
1000133002,"2",NA,NA,"ابدارچي",1,1,NA,2,NA,NA,NA,4,683,7,"Admin",NA,"Admin","Admin"
1000133004,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,695,9,"Admin",NA,"Admin","Admin"
1000133005,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,4,675,6,"Admin",NA,"Admin","Admin"
1000069003,"04",NA,NA,"خريد وفروش ضايعات",1,1,NA,2,NA,NA,NA,5,601,7,NA,NA,NA,"Admin"
1000069001,"04",NA,NA,"فروشنده",1,1,NA,2,NA,NA,NA,5,566,10,NA,NA,NA,"Admin"
1000033005,"04",NA,NA,"فروشگاه صنايع چوب",1,1,NA,2,NA,NA,NA,5,757,14,NA,NA,NA,"Admin"
1000069005,"04",NA,NA,"خريد وفروش ضايعات",1,1,NA,2,NA,NA,NA,5,571,5,NA,NA,NA,"Admin"
1000069004,"04",NA,NA,"بنا",1,1,NA,2,NA,NA,NA,5,527,8,NA,NA,NA,"Admin"
1000053002,"03",NA,NA,"کارگر",1,1,NA,1,"خالي از سکنه","000043","006",4,493,4,NA,NA,NA,"Admin"
1000033002,"04",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,4,951,7,NA,NA,NA,"Admin"
1000033001,"04",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,4,608,2,NA,NA,NA,"Admin"
1000045004,"04",NA,NA,"حراست",1,1,NA,2,NA,NA,NA,5,705,11,NA,NA,NA,"Admin"
1000045002,"04",NA,NA,"مغازه دار",1,1,NA,2,NA,NA,NA,4,590,17,NA,NA,NA,"Admin"
1000085002,"02",NA,NA,"کارگر",1,1,NA,2,NA,NA,NA,5,548,7,NA,NA,NA,"Admin"
1000085004,"02",NA,NA,"مشاور",1,1,NA,2,NA,NA,NA,4,833,8,NA,NA,NA,"Admin"
1000085003,"2",NA,NA,"کارگر",1,1,NA,2,NA,NA,NA,4,893,6,"Admin",NA,"Admin","Admin"
1000085001,"02",NA,NA,"راننده",1,1,NA,2,NA,NA,NA,5,636,8,"Admin",NA,"Admin","Admin"
1000085005,"2",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,5,840,5,"Admin",NA,"Admin","Admin"
1000109001,"2",NA,NA,"رنگ کار",1,1,NA,2,NA,NA,NA,5,833,10,"Admin",NA,"Admin","Admin"
1000109002,"2",NA,NA,"کارگر توليد",1,1,NA,2,NA,NA,NA,5,681,1,"Admin",NA,"Admin","Admin"
1000109003,"2",NA,NA,"تعمير کار",1,1,NA,2,NA,NA,NA,5,719,7,"Admin",NA,"Admin","Admin"
1000121004,"2",NA,NA,"خدمتكار",1,1,NA,2,NA,NA,NA,5,511,7,"Admin",NA,"Admin","Admin"
1000121002,"2",NA,NA,"متصدي دستگاه توليد ديوار",1,1,NA,2,NA,NA,NA,5,510,7,"Admin",NA,"Admin","Admin"
1000121001,"2",NA,NA,"انباردار",1,1,NA,2,NA,NA,NA,5,799,7,"Admin",NA,"Admin","Admin"
1000121003,"2",NA,NA,"انباردار",1,1,NA,2,NA,NA,NA,4,689,7,"Admin",NA,"Admin","Admin"
1000121005,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,602,9,"Admin",NA,"Admin","Admin"
1000001004,"02",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,406,6,"Admin",NA,"Admin","Admin"
1000001001,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,4,626,9,"Admin",NA,"Admin","Admin"
1000001002,"2",NA,NA,"فروشنده",1,1,NA,2,NA,NA,NA,5,882,13,"Admin",NA,"Admin","Admin"
1000001003,"02",NA,NA,"دامدار",1,1,NA,2,NA,NA,NA,5,842,9,"Admin",NA,"Admin","Admin"
1000001005,"2",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,725,9,"Admin",NA,"Admin","Admin"
1000061001,"2",NA,NA,"بيكار",1,1,NA,2,NA,NA,NA,5,378,7,"Admin",NA,"Admin","Admin"
1000061002,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,238,8,"Admin",NA,"Admin","Admin"
1000061003,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,731,10,"Admin",NA,"Admin","Admin"
1000061004,"02",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,726,12,"Admin",NA,"Admin","Admin"
1000061005,"2",NA,NA,"زارع",1,1,NA,2,NA,NA,NA,5,362,5,"Admin",NA,"Admin","Admin"
1000025004,"2",NA,NA,"بيكار",1,1,NA,2,NA,NA,NA,5,405,7,"Admin",NA,"Admin","Admin"
1000025003,"2",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,862,9,"Admin",NA,"Admin","Admin"
1000025005,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,452,8,"Admin",NA,"Admin","Admin"
1000025001,"02",NA,NA,"درامد بدون كار",1,1,NA,1,"خالي از سکنه","000015","009",4,646,21,"Admin",NA,"Admin","Admin"
1000025002,"2",NA,NA,"نگهبان",1,1,NA,2,NA,NA,NA,5,616,11,"Admin",NA,"Admin","Admin"
1000109005,"2",NA,NA,"انبار دار",1,1,NA,2,NA,NA,NA,4,731,7,"Admin",NA,"Admin","Admin"
1000109004,"2",NA,NA,"درامد بدون کار",1,1,NA,2,NA,NA,NA,4,882,7,"Admin",NA,"Admin","Admin"
1000013004,"2",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,890,9,"Admin",NA,"Admin","Admin"
1000013002,"2",NA,NA,"راننده",1,1,NA,2,NA,NA,NA,5,409,8,"Admin",NA,"Admin","Admin"
1000013001,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,384,8,"Admin",NA,"Admin","Admin"
1000013003,"2",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,443,14,"Admin",NA,"Admin","Admin"
1000013005,"2",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,605,9,"Admin",NA,"Admin","Admin"
1000029004,"03",NA,NA,"درامد بدون كار",1,1,NA,1,"خالي از سکنه","000006","007",5,706,7,"Admin",NA,"Admin","Admin"
1000029002,"03",NA,NA,"طلا فروشي",1,1,NA,2,NA,NA,NA,5,489,7,"Admin",NA,"Admin","Admin"
1000029003,"3",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,4,700,9,"Admin",NA,"Admin","Admin"
1000029001,"3",NA,NA,"فروشنده ماشين",1,1,NA,2,NA,NA,NA,4,652,8,"Admin",NA,"Admin","Admin"
1000029005,"3",NA,NA,"برقكار",1,1,NA,2,NA,NA,NA,4,628,7,"Admin",NA,"Admin","Admin"
1000017002,"3",NA,NA,"كارمند",1,1,NA,2,NA,NA,NA,5,577,21,"Admin",NA,"Admin","Admin"
1000017003,"03",NA,NA,"معلم",1,1,NA,2,NA,NA,NA,5,721,7,"Admin",NA,"Admin","Admin"
1000017005,"03",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,5,521,6,"Admin",NA,"Admin","Admin"
1000017004,"3",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,365,7,"Admin",NA,"Admin","Admin"
1000017001,"03",NA,NA,"درامد بدون كار",1,1,NA,2,NA,NA,NA,5,497,8,"Admin",NA,"Admin","Admin"
1000113001,"03",NA,NA,"ميوه فروش",1,1,NA,2,NA,NA,NA,4,810,14,"Admin",NA,"Admin","Admin"
1000113005,"03",NA,NA,"درآمد بدون كار",1,1,NA,2,NA,NA,NA,5,337,1,"Admin",NA,"Admin","Admin"
1000113002,"03",NA,NA,"كارگر",1,1,NA,2,NA,NA,NA,4,328,13,"Admin",NA,"Admin","Admin"
1000113004,"03",NA,NA,"بيكار",1,1,NA,2,NA,NA,NA,5,294,7,"Admin",NA,"Admin","Admin"
