"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06"
1000065051,"022111",1,NA,"00080","0000000250","0000020000"
1000066159,"022112",1,NA,"00388","0000000200","0000077600"
1000067057,"022111",1,NA,"00300","0000000500","0000150000"
1000067064,"022111",1,NA,"00300","0000000500","0000150000"
1000068013,"022111",1,NA,"00300","0000000250","0000075000"
1000069166,"022111",1,NA,"01200","0000000125","0000150000"
1000070005,"022112",1,NA,"00620","0000000250","0000155000"
1000070010,"022112",1,NA,"00100","0000000250","0000025000"
1000070014,"022111",1,NA,"02400","0000000200","0000480000"
1000071267,"022113",1,NA,"00600","0000000300","0000180000"
1000071269,"022112",1,NA,"00220","0000000250","0000055000"
1000072004,"022112",1,NA,"00600","0000000375","0000225000"
1000072007,"022112",1,NA,"00300","0000000350","0000105000"
1000072014,"022111",1,NA,"00030","0000000250","0000007500"
1000073106,"022112",1,NA,"00300","0000000300","0000090000"
1000073109,"022112",1,NA,"00300","0000000250","0000075000"
1000074110,"022113",1,NA,"00100","0000001000","0000100000"
1000075204,"022111",1,NA,"01200","0000000250","0000300000"
1000075208,"022113",1,NA,"00600","0000000500","0000300000"
1000075209,"022113",1,NA,"00200","0000000300","0000060000"
1000077117,"022112",1,NA,"00900","0000000250","0000225000"
1000078110,"022113",1,NA,"00200","0000000250","0000050000"
1000078115,"022113",1,NA,"00600","0000000500","0000300000"
1000079170,"022112",1,NA,"00300","0000000300","0000090000"
1000079173,"022112",1,NA,"00600","0000000250","0000150000"
1000081109,"022111",1,NA,"00200","0000000200","0000040000"
1000081112,"022112",1,NA,"00600","0000000270","0000162000"
1000082002,"022113",1,NA,"00093","0000001000","0000093000"
1000082007,"022112",1,NA,"00620","0000000250","0000155000"
1000084155,"022113",1,NA,"00300","0000000500","0000150000"
1000084161,"022112",1,NA,"00300","0000000350","0000105000"
1000085162,"022113",1,NA,"00030","0000000700","0000021000"
1000086111,"022112",1,NA,"00200","0000000250","0000050000"
1000087189,"022111",1,NA,"00600","0000000200","0000120000"
1000087193,"022111",1,NA,"00720","0000000250","0000180000"
1000087200,"022112",1,NA,"00600","0000000250","0000150000"
1000087203,"022113",1,NA,"00600","0000000550","0000330000"
1000089001,"022113",1,NA,"00120","0000001000","0000120000"
1000089015,"022112",1,NA,"00600","0000000250","0000150000"
1000090054,"022112",1,NA,"00300","0000000250","0000075000"
1000090062,"022113",1,NA,"00060","0000000300","0000018000"
1000091055,"022112",1,NA,"00150","0000000250","0000037500"
1000091056,"022112",1,NA,"00600","0000000250","0000150000"
1000091061,"022113",1,NA,"00300","0000000200","0000060000"
1000093153,"022111",1,NA,"00150","0000000250","0000037500"
1000094011,"022112",1,NA,"00620","0000000250","0000155000"
1000096290,"022112",1,NA,"00300","0000000350","0000105000"
1000096292,"022112",1,NA,"00600","0000000200","0000120000"
1000096302,"022112",1,NA,"00600","0000000250","0000150000"
1000097165,"022113",1,NA,"00210","0000000400","0000084000"
1000098004,"022112",1,NA,"00400","0000000250","0000100000"
1000098008,"022111",1,NA,"00600","0000000250","0000150000"
1000098008,"023111",1,NA,NA,NA,"0001000000"
1000098013,"022113",1,NA,"00620","0000000400","0000248000"
1000099165,"022111",1,NA,"00600","0000000200","0000120000"
