"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1190020053,"12","داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,4,1014,0,"Admin",NA,"Admin",NA
1190120067,"01","راننده",1,1,NA,2,NA,NA,NA,NA,5,973,1,"Admin",NA,"Admin",NA
1190120058,"01","معلم",1,1,NA,2,NA,NA,NA,NA,4,1032,0,"Admin",NA,"Admin",NA
1190120070,"01","راننده",1,1,NA,2,NA,NA,NA,NA,5,986,0,"Admin",NA,"Admin",NA
1190120061,"01","داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,911,2,"Admin",NA,"Admin",NA
1190120063,"01","لباس فروش",1,1,NA,2,NA,NA,NA,NA,5,1423,1,"Admin",NA,"Admin",NA
1190116197,"12","کارگر ساختماني",1,1,NA,2,NA,NA,NA,NA,5,759,0,"Admin",NA,"Admin",NA
1190116195,"12","از کار افتاده",1,1,NA,2,NA,NA,NA,NA,4,693,0,"Admin",NA,"Admin",NA
1190116191,"12","سنگکار",1,1,NA,2,NA,NA,NA,NA,5,933,1,"Admin",NA,"Admin",NA
1190116188,"12","گچ کار",1,1,NA,2,NA,NA,NA,NA,4,893,0,"Admin",NA,"Admin",NA
1190116187,"12","خدمتگزار",1,1,NA,2,NA,NA,NA,NA,5,835,0,"Admin",NA,"Admin",NA
1190016015,"11","از کار افتاده",1,1,NA,2,NA,NA,NA,NA,4,765,0,"Admin",NA,"Admin",NA
1190016002,"11","داراي درامد بدون کار",1,1,NA,1,1,NA,"000001","003",4,808,0,"Admin",NA,"Admin",NA
1190016012,"11","کارگر اهنگري",1,1,NA,2,NA,NA,NA,NA,5,811,0,"Admin",NA,"Admin",NA
1190016007,"11","کارگر نقاشي",1,1,NA,2,NA,NA,NA,NA,5,782,1,"Admin",NA,"Admin",NA
1190016004,"11","کارگر ساختماني",1,1,NA,2,NA,NA,NA,NA,4,642,0,"Admin",NA,"Admin",NA
1190040061,"12","راننده",1,1,NA,1,1,NA,"000011","063",4,927,0,"Admin",NA,"Admin",NA
1190040055,"01","داراي درامد بدون کار",1,1,NA,1,1,NA,"000011","057",5,1029,0,"Admin",NA,"Admin",NA
