"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc1","JaygozinDesc2","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
2210107008,"10","سرپرست",1,1,NA,2,NA,NA,NA,NA,5,801,0,"Admin",NA,"Admin","Admin"
2210107010,"10","توليد كننده",1,1,NA,2,NA,NA,NA,NA,5,1083,3,"Admin",NA,"Admin","Admin"
2210107014,"10","فروشنده",1,1,NA,2,NA,NA,NA,NA,5,624,2,"Admin",NA,"Admin","Admin"
2210031194,"10","نقاش ساختمان",1,1,NA,1,2,NA,"000101","195",5,847,3,"Admin",NA,"Admin","Admin"
2210031196,"10","راننده سواري",1,1,NA,2,NA,NA,NA,NA,5,781,0,"Admin",NA,"Admin","Admin"
2210031199,"10","كارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,450,1,"Admin",NA,"Admin","Admin"
2210031202,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,410,0,"Admin",NA,"Admin","Admin"
2210031207,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,369,0,"Admin",NA,"Admin","Admin"
2210019056,"08","كارمند مخابرات",1,1,NA,1,1,NA,"000034","057",5,801,2,"Admin",NA,"Admin","Admin"
2210019059,"08","كارگر فضاي سبز سنگ آهن",1,1,NA,2,NA,NA,NA,NA,5,565,2,"Admin",NA,"Admin","Admin"
2210019064,"08","درآمد بدون كار",1,1,NA,2,NA,NA,NA,NA,5,800,1,"Admin",NA,"Admin","Admin"
2210019068,"08","درآمد بدون كار",1,1,NA,1,2,NA,"000035","070",5,254,0,"Admin",NA,"Admin","Admin"
2210159259,"09","كارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,459,1,"Admin",NA,"Admin","Admin"
2210159265,"09","راننده كاميون",1,1,NA,2,NA,NA,NA,NA,5,549,0,"Admin",NA,"Admin","Admin"
2210119104,"10","قاليباف",1,1,NA,2,NA,NA,NA,NA,5,688,0,"Admin",NA,"Admin","Admin"
2210119110,"10","مرغدار",1,1,NA,2,NA,NA,NA,NA,5,994,1,"Admin",NA,"Admin","Admin"
2210151008,"10","كارگر ساده",1,1,NA,1,2,NA,"000002","009",5,448,0,"Admin",NA,"Admin","Admin"
2210083001,"09","زراعتکار",1,1,NA,2,NA,NA,NA,NA,5,1252,1,"Admin",NA,"Admin","Admin"
2210083004,"09","زراعتکار",1,1,NA,2,NA,NA,NA,NA,5,702,0,"Admin",NA,"Admin","Admin"
2210083009,"09","راننده سواري",1,1,NA,2,NA,NA,NA,NA,5,507,0,"Admin",NA,"Admin","Admin"
2210083011,"09","استا بنا",1,1,NA,2,NA,NA,NA,NA,5,351,0,"Admin",NA,"Admin","Admin"
2210083015,"09","کارگر ميوه فروشي",1,1,NA,2,NA,NA,NA,NA,5,606,0,"Admin",NA,"Admin","Admin"
2210135486,"09","باغدار",1,1,NA,2,NA,NA,NA,NA,5,935,8,"Admin",NA,"Admin","Admin"
2210135487,"09","کارگر زمين کن",1,1,NA,1,1,NA,"000202","488",5,457,0,"Admin",NA,"Admin","Admin"
2210135490,"09","باغدار",1,1,NA,2,NA,NA,NA,NA,5,568,0,"Admin",NA,"Admin","Admin"
2210135494,"09","باغدار",1,1,NA,2,NA,NA,NA,NA,5,874,1,"Admin",NA,"Admin","Admin"
2210123258,"09","راننده کاميون",1,1,NA,2,NA,NA,NA,NA,5,796,1,"Admin",NA,"Admin","Admin"
2210123260,"09","راننده کاميون",1,1,NA,2,NA,NA,NA,NA,5,733,1,"Admin",NA,"Admin","Admin"
2210123264,"09","بنا بند کش",1,1,NA,2,NA,NA,NA,NA,4,898,0,"Admin",NA,"Admin","Admin"
2210123266,"09","کاگر بافندگي",1,1,NA,2,NA,NA,NA,NA,5,845,8,"Admin",NA,"Admin","Admin"
2210123270,"09","راننده کاميون",1,1,NA,2,NA,NA,NA,NA,5,704,3,"Admin",NA,"Admin","Admin"
2210139105,"08","زارع",1,1,NA,1,2,NA,"150833","107",5,887,0,"Admin",NA,"Admin","Admin"
2210139109,"08","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,4,367,0,"Admin",NA,"Admin","Admin"
2210139112,"08","کارگر استخراج",1,1,NA,2,NA,NA,NA,NA,5,787,0,"Admin",NA,"Admin","Admin"
2210139114,"08","مسئول پذيرش دانشگاه",1,1,NA,2,NA,NA,NA,NA,4,889,3,"Admin",NA,"Admin","Admin"
2210139117,"08","کارگر معدن",1,1,NA,2,NA,NA,NA,NA,5,842,1,"Admin",NA,"Admin","Admin"
2210143057,"09","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,335,0,"Admin",NA,"Admin","Admin"
2210143060,"09","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,200,1,"Admin",NA,"Admin","Admin"
2210143064,"09","کشاورز",1,1,NA,1,2,NA,"151446","062",5,583,2,"Admin",NA,"Admin","Admin"
2210143067,"09","راننده کاميون",1,1,NA,1,2,NA,"151446","066",5,606,0,"Admin",NA,"Admin","Admin"
2210143070,"09","کشاورز",1,1,NA,2,NA,NA,NA,NA,5,360,1,"Admin",NA,"Admin","Admin"
2210007183,"08","بهورز",1,1,NA,2,NA,NA,NA,NA,5,1218,1,"Admin",NA,"Admin","Admin"
2210007184,"08","باغدار",1,1,NA,2,NA,NA,NA,NA,4,649,2,"Admin",NA,"Admin","Admin"
2210007187,"08","دامدار",1,1,NA,2,NA,NA,NA,NA,4,799,1,"Admin",NA,"Admin","Admin"
2210007192,"08","دامدار",1,1,NA,2,NA,NA,NA,NA,4,839,0,"Admin",NA,"Admin","Admin"
2210007194,"08","درآمد بدون کار",1,1,NA,1,2,NA,"244575","193",4,381,1,"Admin",NA,"Admin","Admin"
2210155003,"08","کارگر توليد",1,1,NA,2,NA,NA,NA,NA,5,961,0,"Admin",NA,"Admin","Admin"
2210155004,"08","زارع",1,1,NA,1,2,NA,"151280","005",4,1351,0,"Admin",NA,"Admin","Admin"
2210155008,"08","زارع",1,1,NA,2,NA,NA,NA,NA,5,721,0,"Admin",NA,"Admin","Admin"
2210155011,"08","کشاورز",1,1,NA,2,NA,NA,NA,NA,5,790,1,"Admin",NA,"Admin","Admin"
2210155015,"08","قاليباف",1,1,NA,2,NA,NA,NA,NA,4,573,0,"Admin",NA,"Admin","Admin"
2210071002,"10","باغدار",1,1,NA,2,NA,NA,NA,NA,5,512,2,"Admin",NA,"Admin","Admin"
2210063001,"10","کارگر باغداري",1,1,NA,1,2,NA,"510707","002",5,563,0,"Admin",NA,"Admin","Admin"
2210063004,"10","کارگر باغداري",1,1,NA,2,NA,NA,NA,NA,5,418,0,"Admin",NA,"Admin","Admin"
2210159257,"09","کارگر ساده",1,1,NA,2,NA,NA,NA,NA,5,434,2,"Admin",NA,"Admin","Admin"
2210159264,"09","کارگر معدن چادر ملو",1,1,NA,2,NA,NA,NA,NA,5,704,1,"Admin",NA,"Admin","Admin"
2210159268,"09","درآمد بدون کار",1,1,NA,1,2,NA,"151694","269",5,394,0,"Admin",NA,"Admin","Admin"
2210099207,"09","کارگر لعاب کاخانه کاشي",1,1,NA,2,NA,NA,NA,NA,5,764,1,"Admin",NA,"Admin","Admin"
2210099208,"09","سيمان کار",1,1,NA,2,NA,NA,NA,NA,4,764,0,"Admin",NA,"Admin","Admin"
2210099212,"09","معاون دبيرستان",1,1,NA,2,NA,NA,NA,NA,5,1148,1,"Admin",NA,"Admin","Admin"
2210099216,"09","اپراتور کارخانه فولاد",1,1,NA,2,NA,NA,NA,NA,5,829,0,"Admin",NA,"Admin","Admin"
2210099218,"09","مهندس رنگرز",1,1,NA,2,NA,NA,NA,NA,4,725,0,"Admin",NA,"Admin","Admin"
2210103190,"10","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,404,0,"Admin",NA,"Admin","Admin"
2210103192,"10","دامدار",1,1,NA,2,NA,NA,NA,NA,5,1006,2,"Admin",NA,"Admin","Admin"
2210103197,"10","دامدار",1,1,NA,2,NA,NA,NA,NA,5,541,0,"Admin",NA,"Admin","Admin"
2210103200,"10","درآمد بدون کار",1,1,NA,2,NA,NA,NA,NA,5,521,1,"Admin",NA,"Admin","Admin"
2210103201,"10","کارگر مونتاژکار",1,1,NA,2,NA,NA,NA,NA,5,885,1,"Admin",NA,"Admin","Admin"
2210091114,"10","مسئول بهداري شرکت يزد تاير",1,1,NA,2,NA,NA,NA,NA,5,977,3,"Admin",NA,"Admin","Admin"
2210091118,"10","آب خيز داري",1,1,NA,2,NA,NA,NA,NA,5,990,2,"Admin",NA,"Admin","Admin"
2210091119,"10","کارگر ساختماني",1,1,NA,2,NA,NA,NA,NA,5,748,2,"Admin",NA,"Admin","Admin"
2210091123,"10","کارگر توليد فرش ماشيني",1,1,NA,2,NA,NA,NA,NA,5,993,2,"Admin",NA,"Admin","Admin"
2210091125,"10","ساندويچ فروشي",1,1,NA,2,NA,NA,NA,NA,5,690,0,"Admin",NA,"Admin","Admin"
2210095127,"09","جوشکار",1,1,NA,2,NA,NA,NA,NA,5,874,0,"Admin",NA,"Admin","Admin"
2210095124,"09","معاون دبستان",1,1,NA,2,NA,NA,NA,NA,5,669,0,"Admin",NA,"Admin","Admin"
2210095119,"09","کارگر توليد کاشي احسان بسته بندي",1,1,NA,1,2,NA,"000036","120",5,765,2,"Admin",NA,"Admin","Admin"
2210095116,"09","بنا سيمان کار",1,1,NA,2,NA,NA,NA,NA,5,791,2,"Admin",NA,"Admin","Admin"
2210095115,"09","درامد بدون کار",1,1,NA,2,NA,NA,NA,NA,4,714,0,"Admin",NA,"Admin","Admin"
