"ADDRESS","COL1","COL3","COL4"
"000071091","061112",1,3000
"000071092","061111",1,20000
"000071092","062112",1,25000
"000061076","061111",1,45000
"000061076","061115",1,4000
"000011003","061111",1,22000
"000061082","061111",1,12500
"000061082","062111",1,5600
"000061083","061111",1,23000
"000061083","062211",1,8500
"000061084","061111",1,36000
"000061084","062112",1,28000
"000061084","062316",1,40000
"000061084","062317",1,22000
"000061079","061111",1,42000
"000061079","061215",1,6000
"000061080","061111",1,210000
"000061080","062111",1,21000
"000061080","062112",1,42000
"000061081","061111",1,40000
"000061081","062111",1,2900
"000061081","062112",1,8000
"000061086","061111",1,80000
"000061086","062112",1,15000
"000061086","062313",1,35000
"000061088","061111",1,12000
"000011003","062111",1,11000
"000011014","061111",1,30000
"000011014","062111",1,11000
"000071097","061111",1,14000
"000071097","061114",1,2500
"000071100","061111",1,48000
"000071100","061215",1,4500
"000071100","062111",1,15500
"000071100","062112",1,11000
"000071101","061112",1,15000
"000071102","061111",1,22000
"000071102","061112",1,5000
"000071102","062111",1,10000
"000071102","062316",1,15000
"000091112","061111",1,7000
"000091111","061111",1,23000
"000091111","062111",1,6500
"000011001","061111",1,4000
"000011001","062112",1,3000
"000011007","061111",1,35000
"000011007","062112",1,28000
"000011008","061111",1,35000
"000011008","061112",1,10000
"000011008","062111",1,11000
"000071109","061111",1,308000
"000071109","062112",1,28000
"000011006","061111",1,50000
"000011006","062112",1,18000
"000011009","061111",1,40000
"000011009","062112",1,22000
"000011010","061112",1,125000
"000011010","062112",1,22000
"000011011","061111",1,17000
"000011011","062111",1,11000
"000091113","061111",1,45000
"000091113","062111",1,5500
"000011016","061111",1,4000
"000011004","061111",1,650000
"000011004","062111",1,11000
"000011004","062112",1,12500
"000011012","061111",1,15000
"000011013","061111",1,48000
"000011013","061112",1,20000
"000011013","061115",1,3000
"000011015","061111",1,18000
"000011015","061112",1,15000
"000011015","061115",1,12000
"000011015","062218",1,80000
"000011018","061111",1,8500
"000011019","061111",1,10000
"000011019","062111",1,2800
"000011022","061111",1,14000
"000011022","061115",1,12000
"000011026","062111",1,5500
"000011026","062313",1,30000
"000011026","062316",1,8000
"000011027","061111",1,7000
"000011027","062112",1,18000
"000011029","061111",1,12000
"000011037","061111",1,78000
"000011037","061112",1,5000
"000011037","061115",1,5000
"000011037","062113",1,24000
"000091113","062316",1,38000
"000091113","062317",1,12000
"000011018","062111",1,10000
