"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
100051052,"01",1,"4190","7512",1,1873850,24086200,1682819,20193828,0,1600000,1682819,21793828
100051054,"02",1,"7417","1545",3,4e+05,4950000,4e+05,4950000,0,0,4e+05,4950000
100011007,"01",1,"3475","9241",3,2250000,31250000,2105900,25270800,0,4250000,2105900,29520800
100011017,"01",1,"8161","4010",1,3488000,44856000,3179532,38154384,0,3e+06,3179532,41154384
100011019,"02",1,"2320","8021",1,2437653,31251836,2211632,26539584,0,2e+06,2211632,28539584
100011014,"01",1,"9132","6519",1,18840000,24108000,1768000,21216000,0,1500000,1768000,22716000
100011009,"01",1,"5122","2812",1,3744374,51432488,3380234,40562808,0,6500000,3380234,47062808
100011018,"03",1,"2320","8021",1,2115906,26390870,1933375,23200500,0,1e+06,1933375,24200500
100061057,"01",1,"1229","8010",1,2358200,29998400,2145962,25751544,0,1700000,2145962,27451544
100091072,"01",1,"7126","4524",3,0,10800000,0,10800000,0,0,0,10800000
100011011,"01",1,"4134","3520",3,2858600,39133200,2337536,28050432,0,4830000,2337536,32880432
100061064,"01",1,"4134","2429",3,1624512,21794144,1552666,18631992,0,2300000,1552666,20931992
100061060,"01",1,"2320","8021",1,2645223,33592676,2407153,28885836,0,1850000,2407153,30735836
100061060,"02",1,"2331","8010",1,1889250,23871000,1719218,20630616,0,1200000,1719218,21830616
100061069,"05",1,"9320","3150",3,1500000,19700000,1421334,17056008,0,1700000,1421334,18756008
100061070,"01",1,"1210","2511",3,2558600,33003200,2205350,26464200,0,2300000,2205350,28764200
100061070,"02",1,"2331","8010",1,1893187,24318244,1754994,21059928,0,1600000,1754994,22659928
100011012,"01",1,"2310","7522",1,2078520,12471120,2e+06,1.2e+07,0,0,2e+06,1.2e+07
100011012,"01",2,"5169","7522",1,0,27600000,0,27600000,0,0,0,27600000
100011013,"01",1,"7222","2811",3,1357300,18637600,1291466,15497592,0,2350000,1291466,17847592
100061062,"01",1,"9320","1519",3,1582400,20438800,1514126,18169512,0,1450000,1514126,19619512
100061066,"03",1,"8324","6023",3,1500000,1.3e+07,1500000,1.3e+07,0,0,1500000,1.3e+07
100061067,"05",1,"9314","4522",3,3e+05,7700000,3e+05,7200000,0,5e+05,3e+05,7700000
100061067,"06",1,"9132","5234",3,150000,2250000,150000,2250000,0,0,150000,2250000
100091075,"04",2,"9314","4521",3,0,3400000,0,3400000,0,0,0,3400000
100012035,"01",1,"7233","4531",3,2654000,34848000,2518600,30223200,0,3e+06,2518600,33223200
100042046,"01",1,"7233","1711",3,1835500,25626000,1756726,21080712,0,3600000,1756726,24680712
100042047,"01",1,"9314","4521",3,1750000,16800000,1750000,16800000,0,0,1750000,16800000
100042047,"05",1,"9314","4521",3,1125000,1125000,1125000,1125000,0,0,1125000,1125000
100042048,"01",1,"0111","7522",1,1885059,25420708,1744101,20929212,0,2800000,1744101,23729212
100062061,"01",1,"3416","6420",1,2837200,38846400,2691246,32294952,0,4800000,2691246,37094952
100012005,"01",1,"1316","6304",3,3250000,4.9e+07,3250000,4.4e+07,0,5e+06,3250000,4.9e+07
100012018,"03",1,"4113","4020",1,2880000,37560000,2689000,32268000,0,3e+06,2689000,35268000
