"ADDRESS","COL01","COL03","COL04","COL05","COL06","COL07","COL08"
"000033048","01",4e+06,0,0,0,0,0
"000043051","01",0,0,0,0,0,2600000
"000063081","01",0,0,0,6920000,0,3150000
"000063067","01",0,0,0,7200000,0,0
"000063068","01",0,0,0,7200000,0,0
"000063083","01",0,1.4e+07,0,8e+06,0,0
"000063083","06",0,0,0,850000,0,0
"000013012","01",0,0,0,850000,0,6e+05
"000013015","01",1.4e+07,0,0,0,0,0
"000013014","02",0,0,0,0,5e+05,0
"000013026","01",0,0,0,0,0,5e+05
"000033042","01",0,7200000,0,0,0,0
"000033045","01",6360000,0,0,0,0,0
"000043058","01",0,0,0,850000,0,1500000
"000043056","01",0,0,0,850000,0,1e+06
"000073088","01",0,0,0,960000,0,1500000
"000073087","01",0,0,0,1200000,0,5400000
"000013013","01",0,0,0,9e+05,0,1600000
"000063084","01",0,4500000,0,0,0,0
"000073105","01",0,0,0,0,0,8e+06
"000073103","01",0,0,0,0,0,9e+06
"000073104","01",0,0,0,0,0,5e+06
"000074095","01",0,1350000,0,1200000,0,0
"000074091","01",0,3e+06,0,0,0,0
"000014035","01",0,0,0,2800000,0,0
"000014032","01",0,0,0,1200000,0,2160000
"000014003","01",0,0,0,4800000,0,0
"000014004","01",0,0,0,0,0,1e+07
"000044055","01",0,0,0,0,0,5e+06
"000074100","01",0,0,0,0,0,5e+06
"000014037","01",0,0,0,720000,0,3e+05
"000094108","01",14400000,0,0,0,0,0
"000014020","01",0,0,0,1440000,0,0
"000044052","01",0,0,0,0,650000,0
"000014009","07",0,0,0,850000,0,0
"000054065","01",0,2500000,0,1500000,0,0
"000054062","01",0,0,0,0,0,5e+06
"000064066","01",0,0,0,0,0,7200000
"000064076","01",0,1.5e+07,0,0,0,0
"000074093","01",0,5800000,0,0,0,0
"000074094","01",0,0,0,0,0,2e+06
"000074096","01",0,0,3e+06,0,0,0
"000094110","01",0,0,0,0,0,2e+06
"000014008","01",0,0,0,6480000,0,0
"000014036","01",0,0,0,0,0,8850000
"000014038","01",0,0,0,6600000,0,2200000
"000014031","01",0,0,0,1e+06,0,1e+07
"000064084","01",0,1.2e+07,0,0,0,0
"000014010","01",0,0,0,1250000,0,2e+06
"000034044","01",0,0,0,960000,0,0
"000064082","01",0,0,0,1200000,0,0
"000074086","01",0,1e+06,0,1200000,0,2e+05
"000014026","01",0,0,0,0,0,1800000
"000044057","01",0,1e+06,0,0,0,8e+05
"000044059","01",0,0,0,9e+05,0,960000
"000064081","01",0,0,0,1200000,0,0
"000034042","01",0,0,0,680000,0,0
"000034042","03",0,0,0,7200000,0,0
"000034046","01",0,0,0,1920000,0,0
"000034049","01",0,0,0,0,0,4e+06
"000064077","01",0,0,0,0,0,1e+06
"000014017","01",0,0,0,0,0,1e+07
"000034047","01",0,0,0,8e+05,0,1e+06
"000034048","01",0,0,0,0,0,2e+06
"000034043","01",0,0,0,0,0,6e+06
"000014030","02",0,0,0,0,3e+05,0
"000034041","01",0,0,0,960000,0,0
"000034041","04",0,0,0,0,0,2e+06
"000074088","01",0,0,0,3e+06,0,0
"000064075","01",0,0,0,0,0,3e+06
"000034050","01",0,0,0,6720000,0,0
"000074104","01",0,0,0,1850000,0,4e+05
"000074105","01",0,2e+06,0,0,0,2500000
"000014012","01",0,2e+06,0,1400000,0,0
"000014011","01",0,0,0,2e+06,0,1e+06
"000014011","07",0,0,0,1200000,0,0
"000014029","01",0,3e+06,0,0,0,3e+06
"000014013","06",0,0,0,1250000,0,0
"001021008","01",0,0,0,930000,0,7e+05
"001081066","01",0,0,0,1800000,3e+05,0
"001081066","03",0,0,0,0,130000,0
"001021006","01",11200000,0,0,0,0,0
"001111089","01",0,2e+06,0,0,0,0
"001051046","01",0,3500000,0,0,0,0
"001041023","04",9400000,0,0,0,0,0
"001051048","01",0,8520000,0,0,0,0
"001111087","01",0,450000,0,0,0,0
"001041022","01",0,0,0,150000,0,0
"001011005","01",0,0,0,0,1800000,0
"001051040","02",0,0,0,1200000,0,0
"001021007","01",0,5100000,0,0,0,0
"001091078","01",0,3e+06,0,0,4e+05,0
"001141106","01",0,10800000,0,0,0,0
"001061052","01",0,1128000,0,960000,0,0
"001051039","01",15040000,2e+06,0,0,0,0
"001131102","01",0,4e+05,0,1200000,0,0
"001051045","01",0,0,0,0,5e+05,0
"001111086","01",0,0,0,0,8e+05,0
"001111094","01",11440000,0,0,0,0,0
"001121099","01",0,0,0,1500000,0,510000
"001051050","01",0,2570000,0,0,0,0
"001151113","01",0,8e+05,0,0,1500000,0
"001141110","01",0,9600000,0,0,0,0
"001111092","01",48020000,0,0,0,0,0
"001151114","01",0,0,0,0,8e+05,0
"001141107","05",0,238000,0,0,0,0
"001111093","01",0,2700000,0,0,0,350000
"001101081","01",0,1680000,0,880000,0,140000
"001041024","01",0,1400000,0,0,0,0
"001131103","01",0,0,0,1200000,0,0
"001071056","01",0,0,0,3e+06,1e+06,0
"001061053","01",0,1536000,0,1200000,0,0
"001071060","01",0,0,0,0,1e+05,0
"001051029","02",0,0,0,0,3e+06,0
"001051029","03",0,0,0,0,0,1500000
"001051029","09",0,0,0,1010000,0,0
"001111088","01",0,1100000,0,1200000,0,0
"001051030","01",0,4e+06,0,0,0,0
"001081069","01",0,0,0,1200000,0,4e+05
"001051049","01",0,4800000,0,0,0,0
"001101084","01",0,7600000,0,0,0,0
"001091080","06",0,4900000,0,0,0,0
"001121097","01",0,0,0,0,1500000,0
"001131101","01",0,0,0,0,1e+06,0
"001061054","01",0,0,0,1220000,0,0
"001131105","01",0,0,0,1600000,0,0
"001121098","01",14282920,0,0,0,0,0
"001071059","01",0,0,0,0,150000,0
"001061051","02",0,0,0,2040000,0,0
"001051031","01",0,0,0,0,0,8400000
"001012002","07",0,0,0,1440000,0,0
"001052043","01",0,8280000,0,0,6e+06,0
"001052044","01",0,9e+06,0,0,0,0
"001052047","01",0,9600000,0,0,0,0
"001022006","01",0,0,0,0,2100000,0
"001062055","01",0,0,0,3300000,0,3e+06
