"ADDRESS","COL1","COL3","COL4"
100011028,105112,1,120000
100012004,105112,1,80000
100012035,105113,1,60000
100012008,105113,1,1e+05
100012033,105113,1,80000
100043041,105113,1,1e+05
100014016,105112,1,4e+05
101051036,105112,1,1e+05
101061069,105112,1,165000
101011005,105112,1,5e+05
101111090,105112,1,115000
101051043,105112,1,3e+05
101061067,105112,1,40000
101052043,105112,1,220000
101062068,105112,1,4e+05
101052052,105112,1,3e+05
101053038,105112,1,360000
101034009,105113,1,120000
102161075,105112,1,50000
102071055,105112,1,250000
102011003,105112,1,4e+05
102062040,105112,1,120000
102022018,105113,1,50000
102022021,105112,1,50000
102072044,105112,1,3e+05
102072044,105113,1,5e+05
102162072,105112,1,80000
102103057,105113,1,25000
102013007,105112,1,250000
102013004,105113,1,410000
102104057,105113,1,15000
102084053,105112,1,40000
102084055,105113,1,150000
102024017,105112,1,350000
102074047,105113,1,1e+05
103031040,105113,1,25000
103031011,105112,1,120000
103061066,105113,1,1450000
103031056,105113,1,20000
103022005,105112,1,360000
103032007,105113,1,50000
103032010,105112,1,150000
103032023,105112,1,150000
103232094,105112,1,80000
103063065,105112,1,70000
103064056,105112,1,1e+05
104031045,105112,1,3e+05
104011026,105112,1,9e+05
104082068,105112,1,8e+05
104132094,105113,1,1e+05
104102083,105112,1,1e+05
104052054,105113,1,250000
104062056,105113,1,50000
104013021,105113,1,210000
104083069,105112,1,130000
104104076,105113,1,60000
104014024,105112,1,2e+05
104054052,105112,1,180000
105021037,105113,1,20000
105021061,105112,1,60000
105021062,105112,1,350000
105051076,105113,1,30000
105051077,105112,1,1e+05
105022065,105112,1,35000
105022063,105112,1,4e+05
105052076,105112,1,40000
105022057,105112,1,180000
105022058,105113,1,3e+05
105044074,105112,1,450000
105024051,105113,1,30000
106042033,105112,1,3e+05
106122059,105113,1,65000
106032011,105113,1,130000
106033021,105113,1,150000
106033012,105112,1,170000
106123057,105112,1,170000
106123059,105113,1,10000
107071025,105113,1,30000
107071039,105113,1,60000
107072014,105113,1,8e+05
107083053,105112,1,160000
107104060,105112,1,1300000
107104056,105113,1,250000
108041019,105112,1,150000
108081047,105113,1,7e+05
108061034,105113,1,5e+05
108082078,105112,1,350000
108032010,105113,1,45000
108062038,105112,1,150000
108082046,105113,1,30000
108063035,105112,1,150000
108084045,105112,1,560000
108044014,105113,1,120000
108084052,105112,1,1e+05
109141042,105112,1,70000
109141043,105112,1,1200000
109161055,105112,1,350000
109171117,105112,1,40000
109161087,105113,1,1e+05
109161092,105113,1,2e+05
109162107,105113,1,2e+05
109162078,105112,1,280000
109162109,105112,1,5e+05
109162075,105112,1,330000
109132036,105113,1,6500
109162089,105113,1,80000
109152041,105113,1,1e+05
109162108,105113,1,280000
109163108,105112,1,270000
109164042,105112,3,4e+05
109164054,105112,1,1200000
109184118,105113,1,25000
110021029,105113,1,10000
110021049,105112,1,180000
110021056,105113,1,50000
110161123,105112,1,850000
110021050,105112,1,1100000
110161119,105112,1,1e+05
110032063,105112,1,90000
110142107,105113,1,8000
110142113,105113,1,1e+05
110022021,105112,1,5e+05
110022002,105113,1,45000
110022053,105112,1,140000
110022054,105112,1,2e+05
110083080,105112,1,1e+05
110023003,105112,1,60000
110093083,105113,1,5e+05
110103090,105113,1,1e+05
110023025,105112,1,350000
110023033,105113,1,3000
110023034,105112,1,2e+05
110023038,105112,1,80000
110083079,105112,1,2e+05
110024047,105112,1,180000
110024037,105112,1,250000
110024024,105112,1,250000
110024034,105112,1,35000
111051077,105112,1,330000
111051077,105113,1,1e+05
111051074,105112,1,1e+06
111051087,105112,1,20000
111051088,105113,1,40000
111052094,105112,1,5e+05
111042035,105112,1,4e+05
111042034,105112,1,80000
111052071,105112,1,40000
111052073,105112,1,70000
111052078,105112,1,8e+05
111053076,105112,1,125000
112042063,105112,1,250000
112043046,105112,1,2e+05
112043056,105112,1,150000
112043064,105112,1,5e+05
112083086,105112,1,1e+05
113041061,105113,1,80000
113042054,105112,1,30000
114021041,105112,1,2e+05
116011046,105113,1,2e+05
116011028,105112,1,1e+05
116012004,105112,1,1e+05
116012026,105113,1,50000
116012028,105112,1,120000
116012042,105113,1,150000
116012050,105112,1,80000
116033058,105112,1,50000
116013014,105112,1,30000
116013014,105113,1,40000
116013040,105112,1,2e+05
116013008,105113,1,40000
116014011,105112,1,2e+05
116014020,105113,1,1e+05
116014023,105112,1,2e+05
116014030,105113,1,170000
116074085,105112,1,15000
116064079,105113,1,2e+05
117021040,105112,1,35000
117021052,105112,1,1e+05
117031070,105112,1,250000
117031089,105112,1,32000
117022047,105113,1,5000
