"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
"000011038","01",1,"9211","0124",3,0,5e+06,0,5e+06,0,0,0,5e+06
"000011036","02",1,"7501","1724",3,0,6e+05,0,6e+05,0,0,0,6e+05
"000011037","01",1,"9211","0130",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000071103","01",1,"5149","9304",3,550000,6600000,550000,6600000,0,0,550000,6600000
"000011001","03",1,"9211","0130",3,1050000,8400000,1050000,8400000,0,0,1050000,8400000
"000011024","01",1,"9314","4521",3,6e+05,3e+06,6e+05,3e+06,0,0,6e+05,3e+06
"000071108","01",1,"2146","7498",3,4863725,80455875,4412497,52949964,0,7500000,4412497,60449964
"000071109","01",1,"3115","2411",3,3848902,50686824,3558682,42704184,0,4500000,3558682,47204184
"000071106","01",1,"3119","2411",3,3997020,51914240,3625860,43510320,0,3950000,3625860,47460320
"000071107","01",1,"7311","7498",3,3654290,48501480,3396036,40752432,0,4650000,3396036,45402432
"000011039","01",1,"9314","4521",3,1350000,10800000,1350000,10800000,0,0,1350000,10800000
"000031046","03",2,"7442","1920",3,0,5250000,0,5250000,0,0,0,5250000
"000031049","01",1,"7442","5260",3,250000,3e+06,250000,3e+06,0,0,250000,3e+06
"000031050","01",1,"3231","8518",1,1536640,22139680,1417235,17006820,0,3700000,1417235,20706820
"000031050","02",1,"3231","8518",1,1363200,17558400,1246387,14956644,0,1200000,1246387,16156644
"000021042","01",1,"4134","6309",3,650000,1.1e+07,650000,1.1e+07,0,0,650000,1.1e+07
"000031047","03",1,"7438","1711",3,210000,210000,210000,210000,0,0,210000,210000
"000031047","04",2,"9314","4521",3,0,4800000,0,4800000,0,0,0,4800000
"000021041","01",1,"4223","6420",3,1e+06,1.5e+07,1e+06,14250000,0,750000,1e+06,1.5e+07
"000021041","02",1,"2331","8010",1,1803430,23241160,1648051,19776612,0,1600000,1648051,21376612
"000011032","01",1,"8161","4010",1,2898177,36628124,2724673,32696076,0,1850000,2724673,34546076
"000011028","01",1,"8324","4522",3,3834104,50509248,3509469,42113628,0,4500000,3509469,46613628
"000011028","03",1,"9314","4521",3,1250000,4800000,1250000,4800000,0,0,1250000,4800000
"000054064","01",1,"5149","9304",2,1e+06,8e+06,1e+06,8e+06,0,0,1e+06,8e+06
"000074089","01",1,"9314","4521",3,1200000,14400000,1200000,14400000,0,0,1200000,14400000
"000074089","02",1,"7501","1724",3,0,1300000,0,1300000,0,0,0,1300000
"000074089","04",1,"3231","8513",1,116666,1399999,116666,1399999,0,0,116666,1399999
"000064069","01",1,"8231","2511",3,2387000,32244000,2275607,27307284,0,3600000,2275607,30907284
"000074090","01",1,"7133","4540",3,2100000,16800000,2100000,16800000,0,0,2100000,16800000
"000054063","04",1,"0111","7522",1,1983197,26248364,1820688,21848256,0,2450000,1820688,24298256
"000054063","05",1,"0111","7522",1,2356250,31405000,2128575,25542900,0,3130000,2128575,28672900
"000014003","06",2,"9211","0130",3,0,6840000,0,6840000,0,0,0,6840000
"000014004","01",2,"9211","0130",3,0,3600000,0,3600000,0,0,0,3600000
"000014027","05",1,"7133","4521",3,2400000,21600000,2400000,21600000,0,0,2400000,21600000
"000014001","01",1,"9211","0130",3,550000,6e+06,550000,6e+06,0,0,550000,6e+06
"000014001","03",1,"9314","4521",3,8e+05,7500000,8e+05,7500000,0,0,8e+05,7500000
"000014001","04",1,"9314","4521",3,8e+05,7500000,8e+05,7500000,0,0,8e+05,7500000
"000014026","04",1,"7133","4540",3,2400000,21600000,2400000,21600000,0,0,2400000,21600000
"000054065","03",1,"7501","1724",3,150000,6e+05,150000,6e+05,0,0,150000,6e+05
"000054062","01",1,"8324","6023",3,1150000,13800000,1150000,13800000,0,0,1150000,13800000
"000054062","03",1,"5111","6023",3,6e+05,2400000,6e+05,2400000,0,0,6e+05,2400000
"000064071","01",1,"9314","4521",3,1800000,14400000,1800000,14400000,0,0,1800000,14400000
"000074094","01",2,"9314","4521",3,0,3800000,0,3800000,0,0,0,3800000
"000094110","01",1,"7111","2696",3,2680000,35160000,2540934,30491208,0,3e+06,2540934,33491208
"000094110","03",1,"7224","2892",3,4e+05,8e+05,4e+05,8e+05,0,0,4e+05,8e+05
"000054061","01",1,"9314","4521",3,1155000,11550000,1155000,11550000,0,0,1155000,11550000
"000034042","02",2,"9314","4521",3,0,6e+05,0,6e+05,0,0,0,6e+05
"000074088","01",1,"9314","4521",3,1300000,1.2e+07,1300000,1.2e+07,0,0,1300000,1.2e+07
"000074088","01",2,"9211","0130",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000034045","03",1,"4113","1711",3,1857000,24734000,1759640,21115680,0,2450000,1759640,23565680
"000014002","01",1,"9211","0130",3,0,7e+06,0,7e+06,0,0,0,7e+06
"000014002","04",2,"9211","0130",3,0,5e+05,0,5e+05,0,0,0,5e+05
"000014005","01",1,"1229","8010",1,2185652,28227824,1988944,23867328,0,2e+06,1988944,25867328
"000064074","01",1,"9320","2421",3,4148000,27776000,2047760,24573120,2e+06,2e+06,4047760,26573120
"000064078","01",1,"1210","5219",3,1770000,21240000,1687400,20248800,0,0,1687400,20248800
"000014017","03",1,"7222","3591",3,1350000,8e+06,1350000,8e+06,0,0,1350000,8e+06
"000094106","01",1,"9152","2696",3,1e+06,1.2e+07,1e+06,1.2e+07,0,0,1e+06,1.2e+07
"000094106","03",1,"7224","2892",3,350000,1e+06,350000,1e+06,0,0,350000,1e+06
"000094107","01",1,"2490","7512",3,2147000,27264000,2046807,24561684,0,1500000,2046807,26061684
"000044056","03",1,"7142","5020",3,1250000,1e+07,1250000,1e+07,0,0,1250000,1e+07
"000044056","05",2,"7142","5020",3,0,2200000,0,2200000,0,0,0,2200000
"000074105","01",2,"9314","4521",3,0,3500000,0,3500000,0,0,0,3500000
"000074105","01",2,"9211","0130",3,0,2500000,0,2500000,0,0,0,2500000
"000014012","03",2,"9211","0130",3,0,2800000,0,2800000,0,0,0,2800000
"000034041","01",2,"9211","0130",3,0,2e+06,0,2e+06,0,0,0,2e+06
"000034041","01",2,"9314","4521",3,0,1500000,0,1500000,0,0,0,1500000
"000044058","01",1,"9211","0130",3,0,1500000,0,1500000,0,0,0,1500000
"000044058","01",1,"9314","4521",3,0,2e+06,0,2e+06,0,0,0,2e+06
"000074102","03",1,"8324","6023",3,1400000,1.5e+07,1400000,1.5e+07,0,0,1400000,1.5e+07
"000014029","05",1,"9211","0130",3,750000,4e+06,750000,4e+06,0,0,750000,4e+06
"000014012","04",1,"9314","4521",3,650000,2e+06,650000,2e+06,0,0,650000,2e+06
"000014013","02",1,"7501","1724",3,1e+06,1e+06,1e+06,1e+06,0,0,1e+06,1e+06
"000014015","02",1,"7501","1724",3,0,850000,0,850000,0,0,0,850000
"000064075","01",1,"4134","2421",3,1200000,3950000,1200000,3950000,0,0,1200000,3950000
"000064075","01",2,"9314","4521",3,0,6e+06,0,6e+06,0,0,0,6e+06
"000014015","06",1,"7501","1724",3,0,850000,0,850000,0,0,0,850000
"000014028","05",1,"7132","4521",3,2400000,21600000,2400000,21600000,0,0,2400000,21600000
"001051041","01",1,"8273","1531",3,8e+05,9600000,8e+05,9600000,0,0,8e+05,9600000
"001061055","01",1,"4190","7512",1,2300000,28600000,2008000,24096000,0,1e+06,2008000,25096000
"001051046","03",1,"5220","5234",3,4e+05,5e+06,4e+05,4800000,0,2e+05,4e+05,5e+06
"001051046","04",1,"4212","6519",1,1e+06,1e+06,1e+06,1e+06,0,0,1e+06,1e+06
"001051046","07",1,"5220","5231",3,7e+05,9e+06,7e+05,8400000,0,6e+05,7e+05,9e+06
"001011005","01",2,"9211","0111",3,0,2e+06,0,2e+06,0,0,0,2e+06
"001061051","01",1,"9211","0111",3,8e+05,5e+06,8e+05,5e+06,0,0,8e+05,5e+06
"001141110","01",1,"0112","2109",1,3e+06,3.7e+07,2575000,30900000,0,1e+06,2575000,31900000
"000021043","01",1,"7126","4521",3,2160000,1.8e+07,2160000,1.8e+07,0,0,2160000,1.8e+07
"000021043","03",2,"9211","0130",3,0,3600000,0,3600000,0,0,0,3600000
"000041059","01",1,"9211","0130",3,1650000,8500000,1650000,8500000,0,0,1650000,8500000
"000041058","01",1,"9211","0124",3,0,8e+06,0,8e+06,0,0,0,8e+06
"000041058","04",1,"9211","0130",3,6e+05,1400000,6e+05,1400000,0,0,6e+05,1400000
"000041058","04",2,"4190","7511",1,0,2200000,0,2200000,0,0,0,2200000
"000061076","01",1,"8331","0140",3,1500000,1.6e+07,1500000,1.6e+07,0,0,1500000,1.6e+07
"000031051","01",1,"7126","4521",3,2e+05,3500000,2e+05,3500000,0,0,2e+05,3500000
"000031053","02",1,"8331","0140",3,1e+06,3e+06,1e+06,3e+06,0,0,1e+06,3e+06
"000031053","02",2,"9314","4521",3,0,3200000,0,3200000,0,0,0,3200000
"000031054","05",1,"5123","1711",3,9e+05,2700000,9e+05,2700000,0,0,9e+05,2700000
"000041056","01",1,"9211","0130",3,990000,12120000,990000,12120000,0,0,990000,12120000
"000041057","02",1,"5149","9304",3,0,2100000,0,2100000,0,0,0,2100000
"000041061","01",2,"9211","0130",3,0,3600000,0,3600000,0,0,0,3600000
"000041062","01",2,"7437","1721",3,0,1e+06,0,1e+06,0,0,0,1e+06
"000061077","01",2,"9211","0130",3,0,5040000,0,5040000,0,0,0,5040000
"000061079","02",1,"9314","4521",3,850000,850000,850000,850000,0,0,850000,850000
"000071091","01",1,"7136","7498",3,1860932,24011184,1777509,21330108,0,1680000,1777509,23010108
"000091113","01",1,"9211","0130",3,450000,6e+06,450000,6e+06,0,0,450000,6e+06
"000061082","01",2,"9211","0130",3,0,6750000,0,6750000,0,0,0,6750000
"000061083","01",1,"9211","0130",3,250000,3e+06,250000,3e+06,0,0,250000,3e+06
"000061083","02",1,"9211","0130",3,3e+05,1850000,3e+05,1850000,0,0,3e+05,1850000
"000061084","01",1,"9211","0130",3,1100000,13200000,1100000,13200000,0,0,1100000,13200000
"000061079","02",2,"9314","4522",3,0,1.8e+07,0,1.8e+07,0,0,0,1.8e+07
"000061079","03",1,"9314","4521",3,850000,850000,850000,850000,0,0,850000,850000
"000061079","03",2,"9314","4522",3,0,14400000,0,14400000,0,0,0,14400000
"000061081","01",1,"9211","0130",3,990000,5400000,990000,5400000,0,0,990000,5400000
"000061086","03",2,"9314","4521",3,0,5400000,0,5400000,0,0,0,5400000
"000011007","01",2,"9211","0130",3,0,4500000,0,4500000,0,0,0,4500000
"000011007","03",1,"9314","4521",3,1300000,2600000,1300000,2600000,0,0,1300000,2600000
"000011008","03",2,"9211","0130",3,0,2e+06,0,2e+06,0,0,0,2e+06
"000011008","04",1,"9314","4521",3,1040000,6240000,1040000,6240000,0,0,1040000,6240000
"000011006","01",1,"9211","0130",3,1320000,10800000,1320000,10800000,0,0,1320000,10800000
"000011006","03",1,"9211","0130",3,9e+05,9e+05,9e+05,9e+05,0,0,9e+05,9e+05
"000011009","04",2,"9314","4521",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000011025","01",1,"9314","4521",3,580000,8e+06,580000,8e+06,0,0,580000,8e+06
"000011012","03",2,"9314","4521",3,0,3e+06,0,3e+06,0,0,0,3e+06
"000011012","04",1,"7422","3610",3,320000,2850000,320000,2850000,0,0,320000,2850000
