"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
"000031049","01",2,6121,"0124",2,2,0,27500000,0,450000,0,34050000,6100000
"000011033","01",1,8322,"6022",2,2,0,5618000,6350000,280000,0,34648000,22400000
"000011034","01",1,8322,"6021",2,2,0,1750000,0,0,0,5550000,3800000
"000011034","01",1,1316,"6021",2,2,0,0,0,1545000,680000,2.1e+07,18775000
"000011034","05",1,8322,"6021",2,2,0,2400000,0,0,0,8900000,6500000
"000011028","01",1,6111,"0111",2,1,240000,2720000,0,1530000,0,10500000,6010000
"000031046","01",2,7437,"1721",2,2,0,40000,12000,0,0,4552000,4500000
"000031050","01",1,6121,"0124",2,1,120000,8.6e+07,80000,3e+05,0,100470000,13970000
"000041058","01",1,6121,"0124",2,1,0,7500000,68000,0,0,15250000,7682000
"000041058","03",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000041058","04",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000041063","01",1,6121,"0124",2,1,0,2400000,0,0,0,8359750,5959750
"000031047","01",1,6111,"0111",2,1,150000,270000,0,580000,0,4880000,3880000
"000031047","01",1,6121,"0124",2,1,0,5900000,0,0,0,6460000,560000
"000031047","04",2,6111,"0111",3,1,0,0,0,0,0,0,0
"000031054","01",1,6121,"0124",2,1,0,1500000,0,0,0,6638000,5138000
"000031054","01",1,6111,"0111",2,1,0,430000,0,1280000,0,8510000,6800000
"000031055","01",1,6111,"0111",2,1,0,4550000,2500000,2280000,0,3.7e+07,27670000
"000031055","01",1,6121,"0124",2,1,0,8e+06,0,0,0,12350000,4350000
"000041057","01",1,6121,"0124",2,1,3e+05,2500000,0,0,0,6050000,3250000
"000041057","01",1,6111,"0111",2,1,0,810000,0,2050000,0,8200000,5340000
"000041057","03",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000041057","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000041060","01",1,6113,"0112",1,1,6750000,1820000,4e+05,3210000,0,39700000,27520000
"000041062","01",1,6121,"0124",2,1,0,2160000,0,0,0,9050000,6890000
"000041062","01",1,6111,"0111",2,1,330000,970000,210000,825000,0,11210000,8875000
"000041062","02",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000041064","01",1,6111,"0111",2,1,280000,1310000,0,870000,0,22450000,19990000
"000041064","04",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000041065","01",1,6111,"0111",2,1,0,1180000,0,545000,0,10150000,8425000
"000041065","01",1,6121,"0124",2,1,330000,1450000,0,0,0,4950000,3170000
"000051068","01",1,5220,"5211",2,2,0,4.6e+07,250000,1e+06,0,55650000,8400000
"000061071","01",1,6111,"0111",2,1,0,2910000,0,14520000,0,3.1e+07,13570000
"000061071","01",1,6121,"0124",2,1,280000,3.1e+07,2e+05,0,0,5.1e+07,19520000
"000061072","01",1,6121,"0124",2,1,0,4e+06,0,0,0,11400000,7400000
"000061072","01",1,5220,"5239",2,2,0,0,3.4e+07,0,0,4.2e+07,8e+06
"000061074","01",1,6121,"0124",2,1,520000,2420000,0,0,0,7955000,5015000
"000061076","01",1,6121,"0124",2,1,0,8500000,0,0,0,12300000,3800000
"000061076","02",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000061078","01",1,6111,"0111",2,1,0,193000,0,380000,0,5e+06,4427000
"000051066","01",1,6121,"0124",2,1,8e+05,1.2e+07,180000,0,0,2.6e+07,13020000
"000061075","01",1,6121,"0124",2,1,0,5350000,0,0,0,30310000,24960000
"000061077","01",1,6121,"0124",2,1,0,3650000,0,0,0,20426000,16776000
"000061080","01",1,6112,"0113",2,1,0,60000,0,0,0,3e+06,2940000
"000061073","01",1,6114,"0130",2,1,1420000,3850000,470000,9295000,0,9e+07,74965000
"000071096","01",1,6111,"0111",2,1,0,1330000,0,660000,0,21500000,19510000
"000071096","01",1,6121,"0124",2,1,960000,1.2e+07,0,0,0,30400000,17440000
"000071096","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000071097","01",1,6111,"0111",2,1,120000,1810000,0,610000,0,11250000,8710000
"000071097","01",1,6121,"0124",2,1,0,1800000,50000,0,0,3500000,1650000
"000071097","04",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000071101","01",1,8324,"6023",2,2,0,13850000,0,0,8e+05,38450000,23800000
"000011014","01",1,6112,"0113",2,1,650000,1590000,0,830000,0,2.8e+07,24930000
"000061082","01",1,5220,"5040",2,2,0,7800000,110000,345000,0,9605000,1350000
"000061080","01",1,6121,"0124",2,1,5e+05,1e+07,60000,0,0,13400000,2840000
"000061080","01",1,6111,"0111",2,1,0,2370000,0,1800000,0,2.3e+07,18830000
"000061080","03",1,6112,"0113",3,1,0,0,0,0,0,0,0
"000061080","03",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000061080","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000061081","01",2,6112,"0113",2,1,0,1100000,220000,2250000,0,9570000,6e+06
"000061086","01",1,8331,"0140",2,1,0,2150000,730000,0,0,7650000,4770000
"000061086","01",1,6121,"0124",2,1,620000,2600000,0,0,0,12380000,9160000
"000061086","01",1,6111,"0111",2,1,1320000,4750000,420000,3680000,0,22130000,11960000
"000061086","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000061086","04",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000071102","01",1,6121,"0124",2,1,620000,4e+06,50000,0,0,8940000,4270000
"000071102","01",1,6111,"0111",2,1,0,1640000,0,1e+06,0,10800000,8160000
"000071102","03",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000071103","01",1,5141,"9302",2,2,0,70000,110000,0,0,3180000,3e+06
"000091112","01",1,6121,"0124",2,1,1500000,5e+06,40000,0,0,20700000,14160000
"000091112","01",1,6112,"0113",2,1,0,5e+05,40000,6e+05,0,6e+06,4860000
"000091112","01",1,6111,"0111",2,1,0,2790000,0,430000,0,1.6e+07,12780000
"000091114","01",1,6111,"0111",2,1,0,1890000,0,830000,0,10500000,7780000
"000091114","01",1,6112,"0113",2,1,4e+05,40000,0,0,0,3500000,3060000
"000091114","01",1,6121,"0124",2,1,1500000,1.4e+07,30000,0,0,32850000,17320000
"000091114","02",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000071104","01",1,7422,"3610",1,2,1100000,19500000,1320000,0,0,33020000,11100000
"000071105","01",1,9112,"5259",2,2,0,1.2e+07,3980000,630000,450000,41610000,24550000
"000011019","01",1,6121,"0124",2,1,0,450000,0,0,0,3240000,2790000
"000011022","01",1,5220,"5147",2,2,0,3.4e+07,0,0,0,4.4e+07,1e+07
"000091115","01",1,6121,"0124",2,1,450000,4e+06,0,0,0,8980000,4530000
"000091115","03",1,7501,"1724",2,2,0,3e+05,0,0,0,8e+05,5e+05
"000011018","01",1,6121,"0124",2,1,0,8e+05,0,0,0,3500000,2700000
"000011018","01",1,6111,"0111",2,1,120000,520000,0,480000,0,1.1e+07,9880000
"000031051","01",1,6121,"0124",2,1,0,850000,0,0,0,2500000,1650000
"000031055","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000071096","04",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000042058","01",1,6113,"0112",2,1,3e+06,8500000,3500000,4e+06,0,5.5e+07,3.6e+07
"000072089","01",1,6121,"0124",2,1,0,2700000,85000,0,0,6500000,3715000
"000072089","01",1,6111,"0111",2,1,8e+05,2950000,0,2900000,0,4.6e+07,39350000
"000072089","02",1,6121,"0124",3,1,0,0,0,0,0,0,0
"000072089","03",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000072089","06",1,6111,"0111",3,1,0,0,0,0,0,0,0
"000012012","01",1,6112,"0113",2,1,4e+06,5050000,60000,1170000,0,3e+07,19720000
"000012012","04",1,6112,"0113",3,1,0,0,0,0,0,0,0
"000012011","01",1,6112,"0113",2,1,850000,720000,0,110000,0,1.1e+07,9320000
"000072088","01",1,6112,"0113",2,1,2e+06,4060000,0,0,0,1.2e+07,5940000
"000072088","01",1,6111,"0111",2,1,1e+06,860000,0,2800000,0,1.5e+07,10340000
"000072088","02",1,6112,"0113",3,1,0,0,0,0,0,0,0
"000072090","01",1,6121,"0124",2,1,750000,820000,0,0,0,8190000,6620000
"000072090","01",1,6111,"0111",2,1,420000,970000,420000,2670000,0,9640000,5160000
