"ADDRESS","COL01","COL02","COL03","COL04","COL05","COL06","COL07","COL08","COL09","COL10","COL11","COL12","COL13"
100054046,"02",1,3411,"6719",2,2,0,6350000,0,0,0,21350000,1.5e+07
100054050,"01",1,8322,"6021",2,2,0,8150000,3630000,1420000,0,38750000,25550000
100064065,"03",1,9111,"5147",2,2,0,1650000,0,0,0,6150000,4500000
100064063,"01",1,7231,"5040",2,2,0,3e+05,0,5e+05,0,15800000,1.5e+07
100064063,"05",1,7231,"5040",3,2,0,0,0,0,0,0,0
100094071,"01",1,1210,"2696",1,2,59620000,67790000,6450000,15346800,2250000,243256800,91800000
100044045,"01",1,6111,"0111",2,1,1800000,3900000,0,14150000,0,55500000,35650000
100044045,"01",1,6121,"0124",2,1,0,2e+06,40000,0,0,4900000,2860000
100044042,"01",1,6111,"0111",2,1,250000,1840000,0,8400000,0,31900000,21410000
100044043,"01",1,6111,"0111",2,1,1e+06,3880000,0,6400000,0,5.6e+07,44720000
100044044,"01",1,6111,"0111",2,1,2e+05,1750000,0,4400000,0,2.5e+07,18650000
100064053,"04",1,5220,"5234",3,2,0,0,0,0,0,0,0
101051021,"01",1,6111,"0111",1,1,750000,60000,0,190000,0,5292000,4292000
101051046,"01",1,5220,"5238",1,2,0,0,0,0,0,0,5.4e+07
101071074,"01",1,6111,"0111",1,1,8e+05,134000,0,6e+05,0,0,-1534000
101071074,"02",1,5220,"5239",2,2,0,0,0,0,0,0,7200000
101051037,"01",1,7124,"5234",2,2,0,0,0,0,0,0,5e+06
101151098,"01",1,6121,"0124",2,1,0,250000,0,0,0,7e+06,6750000
101051022,"01",1,8322,"6021",2,2,0,0,0,0,0,0,14400000
101051027,"01",1,2351,"7414",2,2,0,0,0,0,0,0,2e+07
101051053,"01",1,1317,"2695",1,2,0,0,0,0,0,0,1.8e+07
101151096,"01",1,6111,"0111",2,1,420000,104000,0,1034000,0,0,-1558000
101151096,"02",1,6111,"0111",3,1,0,0,0,0,0,0,0
101111095,"02",1,5141,"9302",2,2,0,0,0,0,0,0,9400000
101101082,"01",1,6111,"0111",1,1,820000,23000,0,470000,0,2400000,1087000
101051045,"01",1,5220,"5211",2,2,0,0,0,0,0,0,14400000
101111095,"01",1,5220,"5040",1,2,0,0,0,0,0,0,9e+07
101011004,"01",1,5220,"5133",2,2,0,0,0,0,0,0,4.2e+07
101011002,"01",1,5220,"5211",2,2,0,9.2e+07,0,5e+05,1200000,1.18e+08,24300000
101031017,"01",1,2224,"5231",1,2,0,0,0,0,0,0,8.4e+07
101021006,"01",1,9314,"4521",2,2,0,0,0,0,0,0,7200000
101051043,"01",1,5220,"5132",2,2,0,0,0,0,0,0,2.4e+07
101051042,"01",1,8322,"6021",2,2,0,0,0,0,0,0,3600000
101031013,"01",1,7137,"4532",2,2,0,0,0,0,0,0,4e+06
101031012,"01",1,7124,"5234",1,2,0,0,0,0,0,0,3e+07
101031011,"04",1,8322,"6021",2,2,0,0,0,0,0,0,14400000
101021010,"01",1,7141,"4540",1,2,0,0,0,0,0,0,4.2e+07
101061069,"01",1,6112,"0113",1,1,4e+06,0,0,120000,0,9e+06,4880000
101051031,"01",1,7241,"3150",1,2,0,0,0,0,0,0,3e+07
101051031,"03",1,7241,"3150",3,2,0,0,0,0,0,0,0
101051031,"04",1,7241,"3150",3,2,0,0,0,0,0,0,0
101061068,"01",1,5220,"5239",2,2,0,0,0,9300000,0,1.8e+07,8700000
101061068,"02",1,5141,"9302",2,2,0,0,0,0,0,0,19200000
101111093,"01",1,1313,"4521",1,2,0,0,0,0,0,0,1e+08
101101085,"01",1,5141,"9302",2,2,0,0,0,0,0,0,6e+06
101051036,"01",1,9112,"5259",2,2,0,0,0,0,0,0,8400000
