"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55","DYCOL56","DYCOL57","DYCOL58","DYCOL59","DYCOL60","DYCOL61","DYCOL62","DYCOL63","DYCOL64","DYCOL65","DYCOL66","DYCOL67","DYCOL68","DYCOL69","DYCOL70","DYCOL71","DYCOL72","DYCOL73","DYCOL74","DYCOL75","DYCOL76","DYCOL77","DYCOL78","DYCOL79","DYCOL80","DYCOL81","DYCOL82","DYCOL83","DYCOL84","DYCOL85","DYCOL86","DYCOL87","DYCOL88","DYCOL89","DYCOL90"
"000031090","01","6121",NA,NA,NA,NA,3,"100","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+06,NA,NA,NA,NA,NA,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16500000,NA,NA,16500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9187500,NA,NA,66900000,NA,NA,NA,NA,NA,76087500
"000011069","01","6111",1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000,450000,NA,NA,780000,NA,NA,NA,120000,NA,NA,4e+05,NA,NA,NA,180000,NA,NA,NA,NA,NA,1480000,NA,NA,NA,NA,2e+06,NA,3e+05,NA,2300000,70000,NA,8e+05,NA,NA,NA,NA,NA,NA,NA,7e+05,NA,1570000,2e+07,2e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2e+07
"000011066","01","6111",1,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,2e+06,1e+06,NA,NA,4e+05,3e+05,NA,5e+05,250000,NA,NA,3e+05,120000,NA,NA,NA,NA,5870000,NA,NA,NA,NA,1650000,NA,NA,NA,1650000,1e+05,NA,5e+05,NA,NA,NA,NA,NA,3e+06,NA,NA,3e+06,6600000,3.9e+07,1.4e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3e+07
"000011066","01","6121",NA,NA,NA,NA,3,"20","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,6e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+06,NA,NA,3e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e+06,NA,NA,NA,NA,NA,7e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,1e+06,1.4e+07,NA,NA,NA,NA,NA,1.6e+07
"000041099","01","6111",1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e+05,650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,1670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100000,NA,2200000,NA,NA,NA,NA,NA,NA,NA,3e+06,7300000,NA,2.2e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2e+07
"000031082","01","6121",NA,NA,NA,NA,3,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+06,NA,NA,3e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+06,NA,NA,3800000,NA,NA,NA,NA,NA,5800000
"000071180","01","6111",1,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500000,2500000,NA,NA,340000,NA,NA,NA,360000,NA,NA,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700000,NA,NA,NA,NA,6e+05,NA,NA,NA,6e+05,120000,NA,2e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,2120000,12750000,2e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14750000
"000071174","01","6111",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,5e+05,NA,3500000,1950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e+05,NA,60000,NA,NA,NA,6010000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050000,NA,1050000,NA,NA,NA,1e+06,NA,NA,1300000,NA,4400000,2.2e+07,NA,18500000,NA,NA,6e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46500000
"000091191","01","6111",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,9e+05,1e+06,NA,NA,450000,NA,NA,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,3670000,NA,NA,NA,NA,450000,NA,80000,NA,530000,1e+05,NA,2250000,NA,NA,NA,NA,NA,NA,250000,NA,7e+05,3300000,36800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36800000
"000091192","01","6111",1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,1e+06,NA,NA,120000,NA,NA,NA,NA,4e+06,NA,NA,NA,NA,NA,NA,NA,5470000,NA,NA,NA,NA,NA,2e+06,NA,NA,2e+06,NA,1500000,740000,5e+05,NA,2500000,150000,NA,NA,NA,NA,NA,5390000,2.2e+07,NA,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7e+07
