"ADDRESS","DYCOL01","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08"
"000012062","01",NA,NA,NA,NA,NA,"0008000000"
"000012063","01",NA,NA,"0004500000","0003000000",NA,NA
"000012064","01",NA,NA,NA,NA,"0001100000",NA
"000012065","01",NA,NA,NA,"0003000000",NA,"0001800000"
"000012065","03",NA,NA,NA,NA,"0001500000",NA
"000012068","01",NA,NA,NA,"0002680000",NA,NA
"000013001","01",NA,NA,NA,NA,NA,"0006000000"
"000013004","01",NA,"0003000000",NA,"0003600000",NA,NA
"000013011","01",NA,NA,NA,"0002600000","0001000000","0000500000"
"000013012","01",NA,NA,NA,"0002600000",NA,"0001000000"
"000013014","01",NA,NA,NA,NA,NA,"0006600000"
"000013015","01",NA,NA,NA,"0002700000",NA,"0000850000"
"000013017","01",NA,NA,NA,"0002700000",NA,"0000250000"
"000013019","01",NA,"0002000000",NA,"0002700000",NA,NA
"000013020","01",NA,NA,NA,"0002600000",NA,"0000500000"
"000013022","07",NA,NA,NA,"0004500000",NA,NA
"000013025","01","0021000000",NA,NA,NA,NA,NA
"000013028","01",NA,NA,NA,NA,NA,"0006000000"
"000013031","01",NA,NA,NA,"0002600000",NA,"0002400000"
"000013032","01",NA,NA,NA,NA,NA,"0026400000"
"000013033","01",NA,NA,NA,"0002700000",NA,"0000300000"
"000013035","01",NA,NA,NA,"0002800000",NA,"0000250000"
"000013036","01","0016250000","0001500000",NA,NA,NA,NA
"000013037","01",NA,NA,"0021600000",NA,NA,NA
"000013038","01",NA,NA,NA,"0003500000",NA,"0001500000"
"000013039","01",NA,"0001000000",NA,NA,NA,"0001400000"
"000013042","01","0019500000",NA,NA,NA,NA,NA
"000013047","01","0018000000",NA,NA,NA,NA,NA
"000013048","01","0021315000",NA,NA,NA,NA,NA
"000013053","01","0018240000",NA,NA,NA,NA,NA
"000013058","01",NA,NA,NA,NA,"0001800000",NA
"000013060","01",NA,NA,NA,"0002400000",NA,NA
"000013062","01",NA,NA,NA,"0002500000",NA,"0000500000"
"000013062","03",NA,NA,NA,"0002800000",NA,NA
"000013065","01",NA,NA,NA,NA,"0000600000",NA
"000013068","01",NA,NA,NA,NA,NA,"0000850000"
"000013069","01",NA,NA,NA,"0002400000",NA,"0002000000"
"000013070","01",NA,NA,NA,"0004800000",NA,NA
"000014003","03",NA,NA,NA,"0001700000",NA,NA
"000014004","01",NA,NA,NA,NA,NA,"0003600000"
"000014005","01",NA,NA,NA,"0002600000","0000500000","0001500000"
"000014018","01",NA,NA,NA,"0002650000",NA,NA
"000014020","01",NA,NA,"0009000000",NA,NA,NA
"000014021","01",NA,NA,NA,NA,NA,"0006000000"
"000014022","02",NA,"0010200000",NA,NA,NA,NA
"000014023","01",NA,NA,"0016500000",NA,NA,NA
"000014025","01",NA,NA,NA,"0002650000",NA,"0003000000"
"000014027","01",NA,NA,NA,NA,NA,"0006000000"
"000014030","01",NA,NA,NA,NA,NA,"0009600000"
"000014034","01","0019200000",NA,NA,NA,NA,NA
"000014035","01",NA,NA,NA,NA,NA,"0002040000"
"000014037","01",NA,NA,NA,NA,NA,"0001500000"
"000014039","01",NA,"0005000000",NA,NA,NA,NA
"000014041","01","0025150000",NA,NA,NA,NA,NA
"000014042","01","0023910000","0017400000",NA,NA,NA,NA
"000014043","01",NA,NA,NA,NA,NA,"0003000000"
"000014044","01","0017000000",NA,NA,NA,NA,"0005000000"
"000014047","01",NA,"0030000000",NA,NA,NA,NA
"000014048","01","0004000000",NA,NA,NA,NA,"0000800000"
"000014050","01",NA,NA,NA,NA,NA,"0001000000"
"000014051","01",NA,NA,NA,"0002200000",NA,"0001500000"
"000014052","01",NA,NA,NA,NA,NA,"0001800000"
"000014054","01",NA,NA,NA,"0002400000",NA,NA
"000014061","01",NA,NA,NA,"0004000000",NA,NA
"000014062","01",NA,NA,NA,NA,NA,"0000470000"
"000014063","01",NA,NA,NA,"0002750000",NA,"0000450000"
"000014064","01",NA,NA,NA,"0003200000",NA,"0001200000"
"000021072","01",NA,NA,NA,NA,NA,"0005000000"
"000021073","01",NA,NA,NA,"0018900000",NA,NA
"000021075","01",NA,NA,NA,"0003250000",NA,NA
"000022073","01",NA,NA,NA,"0002150000",NA,"0000400000"
"000022074","01","0021000000",NA,NA,NA,NA,NA
"000022075","01","0013500000",NA,NA,NA,NA,NA
"000024067","01",NA,NA,NA,"0003800000",NA,"0002000000"
"000024068","01",NA,"0003500000",NA,"0002400000",NA,"0000600000"
"000024071","01",NA,NA,NA,NA,NA,"0011000000"
"000024073","01",NA,"0010000000",NA,NA,NA,NA
"000024074","01",NA,NA,NA,"0002400000",NA,"0003000000"
"000031076","01",NA,"0003000000",NA,NA,NA,"0000350000"
"000031077","01",NA,NA,NA,"0000268000",NA,"0000300000"
"000031079","01",NA,NA,NA,"0003300000",NA,"0001200000"
"000031082","01",NA,"0002000000",NA,"0018000000",NA,NA
"000031084","01",NA,"0003500000",NA,NA,NA,"0001500000"
"000031085","01",NA,"0002000000",NA,NA,NA,"0001000000"
"000031086","01",NA,"0070000000",NA,NA,NA,NA
"000031087","01",NA,NA,NA,"0003500000",NA,NA
"000031088","01",NA,NA,NA,"0002500000","0000250000","0002000000"
"000031090","01",NA,NA,NA,NA,NA,"0010000000"
"000032076","01",NA,NA,NA,"0002600000",NA,"0000500000"
"000032083","01",NA,NA,NA,NA,NA,"0002400000"
"000032084","01",NA,NA,NA,"0003800000",NA,"0001500000"
"000032085","01",NA,NA,NA,"0003500000",NA,"0000800000"
"000032087","01","0014400000",NA,NA,NA,NA,NA
"000032089","01","0014400000",NA,NA,NA,NA,NA
"000032090","01",NA,"0004000000",NA,"0004620000",NA,NA
"000033076","01",NA,NA,NA,"0002650000",NA,NA
"000033076","02",NA,NA,NA,NA,NA,"0001000000"
"000033077","01",NA,"0006000000",NA,NA,"0000560000",NA
"000033079","01",NA,NA,NA,"0002600000",NA,"0001300000"
"000033082","01",NA,NA,NA,NA,NA,"0004000000"
"000033083","01",NA,NA,NA,"0002450000",NA,"0000300000"
"000033089","01",NA,"0002500000",NA,NA,NA,"0001500000"
"000033090","01","0019080000",NA,NA,NA,NA,NA
"000034079","05",NA,"0003000000",NA,NA,NA,NA
"000034080","01",NA,NA,NA,"0003400000",NA,"0003600000"
"000034083","01",NA,NA,NA,NA,"0002200000",NA
"000041091","01",NA,"0002000000",NA,NA,NA,"0010000000"
"000041095","01",NA,"0006000000",NA,"0003650000",NA,NA
"000041096","01","0016400000","0003500000",NA,NA,NA,NA
"000041098","01",NA,NA,NA,NA,"0000450000","0001700000"
"000041107","02",NA,NA,NA,NA,"0001300000",NA
"000041110","01","0028000000",NA,NA,"0014400000",NA,NA
"000041112","01",NA,NA,NA,"0014700000",NA,NA
"000041113","01",NA,NA,NA,"0014700000",NA,NA
"000041114","01",NA,NA,NA,NA,NA,"0002400000"
"000041115","01",NA,NA,NA,"0003000000",NA,"0000500000"
"000042091","01","0005500000",NA,NA,NA,NA,NA
"000042091","03","0013500000",NA,NA,NA,NA,NA
"000042093","01","0001500000",NA,NA,"0002400000",NA,NA
"000042094","01","0001500000",NA,NA,"0012000000",NA,NA
"000042095","01",NA,NA,NA,"0003740000",NA,"0001800000"
"000042095","02",NA,NA,NA,"0002000000",NA,NA
"000042096","01",NA,NA,NA,"0002700000",NA,"0001000000"
"000042099","01",NA,NA,NA,NA,NA,"0001800000"
"000042105","01",NA,NA,NA,"0016400000",NA,NA
"000042106","01",NA,NA,NA,"0003900000",NA,NA
"000043094","01",NA,NA,NA,NA,NA,"0006000000"
"000043095","01",NA,NA,NA,"0003500000",NA,"0003000000"
"000043099","01","0024600000",NA,NA,NA,NA,NA
"000043100","01",NA,NA,NA,"0001800000",NA,NA
"000043102","01",NA,NA,NA,"0002600000",NA,"0002000000"
"000043105","01",NA,NA,NA,"0002600000",NA,NA
"000043106","01","0020000000",NA,NA,NA,NA,NA
"000043107","01",NA,NA,NA,"0002600000",NA,NA
"000044086","01",NA,NA,NA,"0002400000",NA,NA
"000044087","01",NA,NA,NA,"0003850000",NA,NA
"000044088","01",NA,NA,NA,"0006300000",NA,NA
"000044090","01",NA,NA,NA,NA,NA,"0002000000"
"000044091","01",NA,NA,NA,"0005000000",NA,NA
"000044095","01",NA,NA,NA,"0032000000",NA,NA
"000044096","01",NA,"0014000000",NA,NA,NA,NA
"000044096","02","0028800000",NA,NA,NA,NA,NA
"000044098","01","0006000000","0003000000",NA,NA,NA,"0003000000"
"000044100","01",NA,"0001200000",NA,NA,NA,NA
"000044107","01",NA,NA,NA,"0002600000",NA,"0001000000"
"000044108","01",NA,NA,NA,"0002500000","0002000000","0001500000"
"000044110","01",NA,NA,NA,"0002600000",NA,"0000700000"
"000051116","01","0016500000","0002000000",NA,NA,NA,NA
"000051117","01",NA,NA,NA,NA,"0000300000","0000550000"
"000051118","01",NA,NA,NA,NA,NA,"0002000000"
"000051120","01",NA,NA,"0003000000",NA,NA,"0002800000"
"000052114","01",NA,NA,NA,"0002700000",NA,"0002000000"
"000053112","01",NA,NA,NA,"0003500000",NA,"0004000000"
"000053114","01",NA,NA,NA,"0002600000",NA,"0002400000"
"000053115","01",NA,NA,"0007200000","0002600000",NA,NA
"000054111","01","0017330000",NA,NA,NA,NA,NA
"000054112","01",NA,NA,NA,"0004100000",NA,NA
"000054113","01",NA,NA,NA,"0004000000",NA,NA
"000054115","01",NA,"0003600000",NA,NA,NA,"0004000000"
"000061122","01",NA,NA,NA,NA,NA,"0003800000"
"000061123","01",NA,NA,NA,NA,"0003800000",NA
"000061125","01",NA,NA,NA,NA,NA,"0004000000"
"000061131","02",NA,NA,NA,NA,"0000650000",NA
"000061132","01",NA,NA,NA,NA,NA,"0000450000"
"000061134","01",NA,NA,NA,"0000400000",NA,"0001000000"
"000061147","01",NA,"0005000000",NA,NA,NA,NA
"000062117","01",NA,NA,NA,"0002800000",NA,"0006000000"
"000062119","01",NA,NA,NA,"0009300000",NA,NA
"000062122","01",NA,"0030240000",NA,NA,NA,"0022200000"
"000062124","01","0022220000",NA,NA,NA,NA,NA
"000062125","01","0015900000",NA,NA,NA,NA,NA
"000062130","01",NA,NA,NA,NA,NA,"0006000000"
"000062134","01","0008000000",NA,NA,NA,NA,"0002000000"
"000062136","01",NA,NA,NA,NA,NA,"0003000000"
"000062139","01",NA,NA,NA,"0004600000",NA,NA
"000062141","01",NA,NA,NA,NA,NA,"0012000000"
"000062142","01","0025500000",NA,NA,NA,NA,"0004600000"
"000062143","01",NA,NA,NA,"0002850000",NA,"0000900000"
"000062144","01",NA,NA,NA,"0002850000",NA,"0001800000"
"000062145","01",NA,NA,NA,"0003500000",NA,NA
"000071178","01",NA,NA,NA,NA,NA,"0003000000"
"000071183","01",NA,NA,NA,NA,NA,"0004000000"
"000071184","02",NA,NA,NA,NA,NA,"0002500000"
"000071189","01",NA,"0018000000",NA,NA,NA,NA
"000072152","01",NA,NA,NA,NA,NA,"0003000000"
"000072156","01",NA,NA,NA,"0002200000",NA,"0000400000"
"000072157","01",NA,NA,NA,NA,NA,"0001000000"
"000072157","02",NA,NA,NA,NA,"0002500000",NA
"000072160","01","0016100000",NA,NA,NA,"0006000000",NA
"000072162","01",NA,NA,NA,NA,NA,"0002000000"
"000072165","01",NA,"0000650000",NA,"0002100000",NA,"0000450000"
"000072166","01",NA,NA,NA,"0003900000",NA,NA
"000072172","01",NA,NA,NA,"0002600000",NA,"0000600000"
"000072176","01",NA,NA,NA,"0002500000",NA,NA
"000072178","01",NA,"0007500000",NA,NA,NA,NA
"000072181","01",NA,"0016000000",NA,NA,NA,NA
"000073151","01",NA,NA,NA,"0002600000",NA,"0000500000"
"000073153","01",NA,NA,NA,"0002850000",NA,"0006000000"
"000073161","01",NA,NA,NA,NA,NA,"0001000000"
"000073162","01",NA,NA,NA,"0006500000",NA,"0008400000"
"000073163","01",NA,NA,NA,NA,NA,"0004000000"
"000073166","01","0003000000","0018000000",NA,NA,NA,NA
"000073166","09",NA,NA,NA,"0002200000",NA,NA
"000073168","01",NA,NA,NA,"0006000000",NA,NA
"000073169","01",NA,"0005000000",NA,"0000240000",NA,NA
"000073170","01",NA,"0004570000",NA,NA,NA,NA
"000073174","01",NA,"0015000000",NA,NA,NA,NA
"000073176","01",NA,"0007000000",NA,NA,NA,NA
"000073177","01",NA,NA,NA,NA,NA,"0007000000"
"000073180","01",NA,"0005500000",NA,NA,NA,"0000700000"
"000073184","01",NA,NA,NA,"0002650000",NA,"0001800000"
"000073185","01",NA,"0004000000",NA,NA,NA,NA
"000073186","01",NA,"0030000000",NA,NA,NA,NA
"000073187","01","0018000000",NA,"0007200000",NA,NA,NA
"000073188","01",NA,NA,NA,NA,NA,"0021600000"
"000074153","01",NA,NA,NA,"0002600000",NA,NA
"000074153","02",NA,NA,NA,"0002600000",NA,NA
"000074155","01",NA,"0001300000",NA,"0002200000",NA,"0003000000"
"000074160","01",NA,NA,NA,NA,NA,"0002000000"
"000074162","01",NA,NA,NA,NA,NA,"0005000000"
"000074165","01",NA,NA,NA,NA,NA,"0001920000"
"000074166","01",NA,NA,NA,"0003900000",NA,"0001000000"
"000074168","01",NA,NA,NA,"0002050000",NA,"0000400000"
"000074169","01",NA,"0003500000",NA,"0002600000",NA,"0005000000"
"000074179","01","0002975000",NA,NA,NA,NA,NA
"000074179","02","0000775000",NA,NA,NA,NA,NA
"000091192","01",NA,NA,NA,NA,NA,"0005000000"
"000092191","01",NA,NA,NA,"0001160000",NA,"0001000000"
"000092191","02",NA,NA,NA,"0000960000",NA,NA
"000092192","01",NA,NA,NA,"0002700000",NA,"0000500000"
"000092193","01",NA,NA,NA,"0001200000",NA,"0000400000"
"000092194","01",NA,NA,"0004800000",NA,NA,NA
"000092195","01","0019500000",NA,NA,NA,NA,NA
"000094186","01",NA,NA,NA,NA,"0004000000",NA
"000094188","01","0048840000",NA,NA,NA,NA,NA
"000094189","01","0025500000",NA,NA,NA,NA,NA
"001011001","01","0016150000",NA,NA,NA,NA,NA
"001011002","01",NA,NA,NA,"0004150000",NA,NA
"001011003","01",NA,NA,NA,"0019000000",NA,NA
"001012001","01","0030700000",NA,NA,NA,NA,NA
"001012004","01",NA,NA,NA,"0003900000",NA,NA
"001021009","01",NA,"0007000000",NA,NA,NA,NA
"001021010","01",NA,NA,NA,"0006100000",NA,NA
"001022006","01",NA,NA,NA,"0005700000",NA,NA
"001022009","01",NA,"0010500000",NA,NA,NA,NA
"001023004","01",NA,"0008400000",NA,"0005750000",NA,NA
"001023007","01","0021900000",NA,NA,NA,NA,NA
"001024001","01",NA,"0012000000",NA,NA,NA,NA
