"ADDRESS","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15","DYCOL16","DYCOL17","DYCOL18","DYCOL19","DYCOL20","DYCOL21","DYCOL22","DYCOL23","DYCOL24","DYCOL25","DYCOL26","DYCOL27","DYCOL28","DYCOL29","DYCOL30","DYCOL31","DYCOL32","DYCOL33","DYCOL34","DYCOL35","DYCOL36","DYCOL37","DYCOL38","DYCOL39","DYCOL40","DYCOL41","DYCOL42","DYCOL43","DYCOL44","DYCOL45","DYCOL46","DYCOL47","DYCOL48","DYCOL49","DYCOL50","DYCOL51","DYCOL52","DYCOL53","DYCOL54","DYCOL55"
100011054,6,"04","100",3,"06",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,"01","02",NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
100011010,6,"03","068",3,"01",NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011037,7,"05","105",3,"06",1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06",NA,NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
100061085,3,"03","060",3,"01",NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100051067,3,"04","120",3,"01",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100011009,1,"04","125",3,"01",NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011007,3,"02","050",3,"01",NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100051068,1,"04","078",3,"06",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
100011038,1,"04","080",3,"01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100061084,3,"02","032",3,"01",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"01","02","03",NA,NA,NA,"07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011003,1,"03","070",3,"01",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100061087,1,"03","060",3,"02",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06",NA,"08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
100011025,1,"05","185",1,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03","04","05",NA,"07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
100011024,1,"04","180",1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03","04","05","06","07",NA,NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA
100011051,1,"03","050",3,"06",NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100011044,1,"03","080",3,"01",NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,"01","02","03","04",NA,"06","07","08",NA,NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
